st_056110_0010#0,"""啊ー啊ー啊，在這個時間點<br>竟然向我們發動戰爭<br>這不是更糟糕了麼。"""
st_056110_0020#0,"""只是處理這些<br>都要花費好多時間的啊<br>混蛋，混蛋。"""
st_056110_0030#0,"""那個，瑪露桑。"""
st_056110_0040#0,"""誰是瑪露桑啊！<br>省略神王的名字可是大不敬喲！"""
st_056110_0050#0,"""……嗯，怎麼了？"""
st_056110_0060#0,"""剛才的魔神城不是從最開始<br>就設置在這裏的吧。"""
st_056110_0070#0,"""當然啊。<br>我們國家只有國境線上才有魔神城。<br>根本沒有餘力在國內還召喚出來。"""
st_056110_0080#0,"""這麼說的話，剛才的魔神城……<br>就是剛才召喚出來的？"""
st_056110_0090#0,"""昆特王應該更清楚吧？<br>話說，召喚術士都不要就突然<br>咚地一下召喚出魔神城，也太犯規了吧？"""
st_056110_0100#0,"""不，昆特也沒有<br>這種技術。"""
st_056110_0110#0,"""而且，剛才的魔神城<br>那個……稍微有一點兒怪。"""
st_056110_0120#0,"""與其說是召喚出來的……"""
st_056110_0130#0,"""更像是突然出現的感覺……？"""
st_056110_0140#0,"""突然發生反應。<br>和召喚時的反應也不一樣。"""
st_056110_0150#0,"""召喚的話，預先的設置也沒有<br>……究竟發生了什麼。"""
st_056110_0160#0,"""啊ー夠了ー！ 不管怎麼說<br>那四個人正在做惡！<br>在我的國家為所欲為！"""
st_056110_0170#0,"""發生問題的話就解決掉原因！<br>是這樣的吧，昆特王！<br>趕緊把我的國家奪回來！"""
st_056110_0180#0,"""是、是！"""
st_056110_0190#0,"""明明神王大人什麼都沒做<br>爲什麼還能那麼了不起……"""
st_056110_0200#0,"""了不起是天生的啊。<br>因爲我是神王。<br>不然的話，誰來了不起。"""
st_056110_0210#0,"""了不起就是王的工作。<br>好好記住，昆特王。"""
st_056110_0220#0,"""是，我明白了！"""
st_056110_0230#0,"""……哈莉艾特要是<br>也變成像瑪露桑一樣那就<br>太難受了……。"""
name01#0,"""？？？"""
name02#0,"""？？？"""
