st_056100_0010#0,"""由艾匹克神王，瑪露嘉蕾妲帶路<br>守護輝士和哈莉艾特，去往了艾匹克。"""
st_056100_0020#0,"""不只是國境線上的據點，就連國境線上的村落裏<br>都沒有一個艾匹克的人民。<br>只留下了雜亂的移動的痕跡。"""
st_056100_0030#0,"""因爲民衆的避難都完成了所以損失很小。<br>即使如此，強制要求民衆避難的事<br>也讓瑪露嘉蕾妲很懊悔。"""
st_056100_0040#0,"""斬斷根源就應該能恢復如初<br>她這麼斷定。"""
st_056100_0050#0,"""穿過無人的村落<br>在那前方是曠闊的沙漠。"""
st_056100_0060#0,"""在艾匹克國土上散開的4大巨惡。<br>爲了討伐他們<br>守護輝士一行人開始了進軍。"""
st_056100_0070#0,"""這裏是艾匹克國內……<br>怎麼說呢，好單調。"""
st_056100_0080#0,"""修行者聚集起來建立的國家。<br>那就是神國艾匹克的成立。<br>正是因爲這麼嚴酷的地方，所以才這麼單調。"""
st_056100_0090#0,"""對啊，艾匹克是做爲<br>始祖他們修行的場所建立的，在那裏匯聚了人潮<br>形成了街道，最終形成了一個國家。"""
st_056100_0100#0,"""功德的成果，就是神國艾匹克。<br>然後居於艾匹克頂點的就是，你們眼前的我<br>神王瑪露嘉蕾妲！"""
st_056100_0110#0,"""……我倒是覺得你應該是<br>離功德最遠的那一個。"""
st_056100_0120#0,"""妖・精ー！"""
st_056100_0140#0,"""……也沒看見魔神城呢。"""
st_056100_0150#0,"""魔神城？ 國境線以外<br>的地方不需要配置吧，那東西太不安全了。<br>而且其他國家也沒有攻陷我們的必要。"""
st_056100_0160#0,"""而且，我要是也做了同樣的事的話<br>也只會讓本來就很貧乏的土地<br>變得更加貧乏而已！"""
st_056100_0170#0,"""能隨便召喚那麼多那東西出來的<br>不是不考慮未來的笨蛋<br>就是魔力和資源都很富裕的昆特這種國家了額。"""
st_056100_0190#0,"""富裕……<br>昆特很富裕麼？"""
st_056100_0200#0,"""如你所說，可能資源和魔力都很富裕<br>但是民衆的心呢？"""
st_056100_0210#0,"""啊？你的想法也太軟弱了吧。<br>王都不挺胸擡頭的話，誰還能挺胸擡頭啊！<br>就那麼想讓國民不安麼？"""
st_056100_0220#0,"""看看這裏。<br>乾枯的大地，連一點兒肥沃的影子都看不見<br>艾匹克不管怎樣都是很貧窮的國家。"""
st_056100_0230#0,"""要是一直埋怨的話就沒完沒了了。<br>所以我才像大家憧憬的那樣<br>一直都覺得很美很自豪。"""
st_056100_0240#0,"""要是大家都想<br>「想變得像我一樣吶」，這就成功了。<br>憧憬會激勵人們前進。"""
st_056100_0250#0,"""那樣……不會和國民疏遠了麼？"""
st_056100_0260#0,"""笨蛋，要是害怕嫉妒心什麼的<br>還能做一個王麼？"""
st_056100_0270#0,"""……哎呀嘛老實說是有點兒可怕<br>不過也不是我能控制的東西<br>只是想的話是沒用的，沒用沒用。"""
st_056100_0280#0,"""我就是人民可以誇耀的王。<br>已經是既定事項。"""
st_056100_0290#0,"""我沒辦法知道<br>每一個人民心裏<br>都在想什麼小事。"""
st_056100_0300#0,"""……就是因爲那麼傲慢<br>所以才召喚出了<br>不得了的四個人。"""
st_056100_0310#0,"""你好煩啊！<br>王都不威風一點兒誰才能威風啊！<br>哈莉艾特也這麼認爲的吧！"""
st_056100_0320#0,"""什麼！？"""
st_056100_0330#0,"""瑪露嘉蕾妲大人！"""
st_056100_0340#0,"""謝，謝謝。<br>啥東西，剛才的是什麼？ 從哪來的？"""
st_056100_0350#0,"""不知道。<br>只知道是突然冒出來的……！"""
st_056100_0360#0,"""啊，魔神城出現了！<br>魔物種正在出現！"""
st_056100_0370#0,"""明明沒看到有召喚術士<br>怎麼突然……！"""
st_056100_0380#0,"""這裏交給我了！"""
st_056100_0390#0,"""你們退下！"""
name01#0,"""？？？"""
name02#0,"""？？？"""
