un_013210_0001#0,"""A.P.238/4/8"""
un_013210_0010#0,"""啊，是你啊。<br>來，蕾拉。這時候要打招呼喔。"""
un_013210_0020#0,"""〔<%me>〕<br>〔你好〕<br>〔這樣說〕〔可以麼?〕"""
un_013210_0030#0,"""還有點生澀......<br>不過大致上沒問題。"""
un_013210_0040#0,"""打招呼可以緩和警戒心，<br>記住了對你有幫助。"""
un_013210_0050#0,"""對了，你是不是要報名<br>傳聞中的戰技大會？"""
un_013210_0060#0,"""沒什麼，就是聽到了<br>即將開辦的情報啦。"""
un_013210_0070#0,"""聽說還一定要<br>和別人組隊的樣子呢。<br>有中意的適合夥伴了麼？"""
un_013210_0080#0,"""大會本身我才不管那麼多，<br>但我對你的身手很有興趣。"""
un_013210_0090#0,"""〔亞琪〕〔戰技大會是〕〔什麼？〕"""
un_013210_0100#0,"""對了......簡單的說，<br>算是ARKS之間相互較勁吧。"""
un_013210_0110#0,"""〔較勁！〕<br>〔那可是〕〔非常有趣〕"""
un_013210_0120#0,"""〔<%me>你〕<br>〔會參加吧？〕<br>〔亞琪妳〕〔要怎麼辦？〕"""
un_013210_0130#0,"""可惜的是，我沒什麼興趣。"""
un_013210_0140#0,"""〔那麼〕〔我想參加！〕<br>〔要比力氣〕〔我有自信！〕"""
un_013210_0150#0,"""......蕾拉。<br>妳真的是巫女麼？"""
