un_046050_0010#0,"""……啊，前輩。<br>你來得正好。"""
un_046050_0020#0,"""約瑟芬？"""
un_046050_0030#0,"""……這孩子怎麼了嗎？"""
un_046050_0040#0,"""約瑟芬是什麼啊？<br>是這孩子的名字嗎？"""
un_046050_0050#0,"""我也不太清楚。<br>它突然間就撲到我懷裡了。"""
un_046050_0060#0,"""這孩子是不是那個啊？<br>就是那個叫召喚師的職業的寵物吧？<br>說是好像平常都挺順從主人，會拼盡全力來著。"""
un_046050_0070#0,"""莫非它就是前輩你的寵物……<br>好吧，看著也不像。"""
un_046050_0080#0,"""你這小傢伙，把自己的主人撂在一邊<br>在這裡摸魚真的好麼？"""
un_046050_0090#0,"""哈哈哈，你還真是粘人啊，小傢伙。<br>不鬧不鬧，乖～乖～。"""
un_046050_0100#0,"""約瑟芬－－－－！"""
un_046050_0110#0,"""太好了，原來你在這裡啊<br>約瑟芬！你別讓我擔心嘛！"""
un_046050_0120#0,"""那個……你莫非，是這孩子的主人？"""
un_046050_0130#0,"""沒錯！我叫皮埃托洛！<br>你是My friend的friend嗎？"""
un_046050_0140#0,"""與其說是friend，倒不如說是前輩後輩的關係啦。<br>我叫伊歐。皮埃托洛先生，還請多指教。"""
un_046050_0150#0,"""啊哈哈哈，我知道啦。<br>你也請多指教啦，約瑟芬。"""
un_046050_0160#0,"""好啦，約瑟芬，我們該回去了。<br>可不能給別人添太多麻煩哦。"""
un_046050_0170#0,"""好痛！約、約瑟芬……你為什麼要這樣……！<br>是我對你的愛還不夠嗎！"""
un_046050_0180#0,"""……是不是你這過剩的愛讓它厭煩了？"""
un_046050_0190#0,"""好啦，約瑟芬。<br>你就回到皮埃托洛先生那裡去吧。<br>這裡不是你該回的地方。"""
un_046050_0200#0,"""……就別那麼一臉依依不捨啦。<br>我一直都會呆在這裡的。<br>你要是想見我了，就再來這兒找我吧。"""
un_046050_0210#0,"""恩恩恩－－！約瑟芬－－！<br>歡迎回家！我絕不會再放開你了！<br>最愛你了約瑟芬！"""
