st_056210_0010#0,"""……和昆特好不一樣<br>好有特典的城堡。"""
st_056210_0020#0,"""我們可沒多餘的精力<br>來建造那麼奢侈的建築。<br>而且還很浪費建材吧？"""
st_056210_0030#0,"""這裏也是因爲成了我的居處<br>閒下來的人才建出來的。<br>一邊敬仰我一邊走吧。"""
st_056210_0040#0,"""等候您的迴歸多時了<br>神王瑪露嘉蕾妲大人。"""
st_056210_0050#0,"""額，你是……"""
st_056210_0060#0,"""爲了讓神王高興<br>我可是費了很多腦細胞<br>……感覺怎麼樣呢。"""
st_056210_0070#0,"""不過，立即就像昆特求助<br>完全是預想外的舉動。<br>而且昆特還迴應了求助，完全沒想到。"""
st_056210_0080#0,"""……是誰來着？"""
st_056210_0090#0,"""自、自己的神官都忘了麼！？<br>指導你召喚術的人！"""
st_056210_0100#0,"""……啊啊果然<br>是在勉強使用敬語呢。<br>我就覺得你說起來怪怪的。"""
st_056210_0110#0,"""蠢貨，我怎麼會忘記。<br>有神會原諒背叛者的先例麼？<br>只是記不住你的名字了而已。"""
st_056210_0120#0,"""哈！ 真是夠了！ 什麼腦迴路<br>笨蛋一樣，愁死我了。<br>嘛，也有點兒樂趣就是了。"""
st_056210_0130#0,"""……你是，威倫的！"""
st_056210_0140#0,"""所以呢，你回來是幹嘛的？<br>來通知投降書的麼？"""
st_056210_0150#0,"""不是不是，還有一點點兒不足<br>所以來進行最後的一步。"""
st_056210_0160#0,"""哼。<br>就是說，準備再次使壞是吧。<br>在這個神王瑪露嘉蕾妲的王宮。"""
st_056210_0170#0,"""在這裏的話我什麼都能做到<br>你應該十分清楚吧。"""
st_056210_0180#0,"""！？"""
st_056210_0190#0,"""瑪露嘉蕾妲＝奧布＝艾匹克下令！<br>你就死在這裏吧。"""
st_056210_0200#0,"""！？"""
st_056210_0210#0,"""好了，吃掉了。"""
st_056210_0220#0,"""剛、剛才的是……？"""
st_056210_0230#0,"""艾匹克流傳的神術。<br>長時間的信仰化爲的形態，奇蹟的力量。"""
st_056210_0240#0,"""本來就是在除了這裏就沒辦法用的<br>看起來太可怕我也不願意用就是了ー。"""
st_056210_0250#0,"""那就是說要是一直待在這裏的話<br>瑪露桑就很安全是吧？"""
st_056210_0260#0,"""只有我是安全的有什麼用？<br>只有我一個人能稱爲一個國家麼？"""
st_056210_0270#0,"""嘛，比起這裏還是先讓你們返回吧。<br>是在這裏召喚出來的<br>還是在這裏做同樣的事就可以了吧？"""
st_056210_0280#0,"""啊，是的，就是那樣。"""
st_056210_0290#0,"""你們兩人過來這裏吧。<br>啊啊沒事的，只要沒有對神不敬<br>剛才的東西不會出現的。"""
st_056210_0300#0,"""那麼，趕緊吧……"""
st_056210_0310#0,"""抓住你了，笨蛋。"""
st_056210_0320#0,"""這、這是什麼！？"""
st_056210_0330#0,"""那是徒花……！？"""
st_056210_0340#0,"""弄不掉的，神王瑪露嘉蕾妲。<br>我說了要來進行最後的一步的吧。"""
st_056210_0350#0,"""要殺了我麼<br>最後一步就是。<br>爲了奪取這個地方。"""
st_056210_0360#0,"""剩下的就是身爲神之供物的你的身體。<br>向那具身體……傳輸因子。"""
st_056210_0370#0,"""啊，這個，不好……！<br>該死的，沒辦法了！<br>快回去吧！"""
st_056210_0380#0,"""身體……正在消失！？"""
st_056210_0390#0,"""喂喂笨蛋王！<br>比起我們<br>先考慮一下自己的狀況啊！ 笨蛋！"""
st_056210_0400#0,"""別說蠢話了！ 會死的！<br>送你們返回是我的責任！<br>快回去吧！"""
st_056210_0410#0,"""瑪露嘉蕾妲大人！"""
st_056210_0420#0,"""別過來，昆特王！<br>這是弄不掉的東西！<br>已經發動的話，就沒辦法了！"""
st_056210_0430#0,"""我也暫時放棄了！<br>然後守護輝士會救出我的！<br>這樣的話是不是很精彩？"""
st_056210_0440#0,"""都這個時候還說這種話！"""
st_056210_0450#0,"""煩死了妖精！<br>因爲真的到那個時候肯定很害怕啊。<br>現在就讓我稍微放肆一下啊！"""
st_056210_0460#0,"""沒用的抵抗也很難堪就算了<br>所以，後面就交給你們了……<br>絕對要把我救出去啊！"""
st_056210_0470#0,"""……交給我吧！"""
st_056210_0480#0,"""儘量不讓你感到疼痛！"""
st_056210_0490#0,"""哈……感覺不錯呢。<br>有好好生成身體呢<br>這次的憑依對象不錯。"""
st_056210_0500#0,"""確認反応……<br>絕對沒錯。<br>那就是黑暗法爾斯【若人】。"""
st_056210_0510#0,"""啊啦？<br>玩具這不是都好好都湊到一塊兒了嘛？"""
st_056210_0520#0,"""這麼好的素體真是好久……<br>能讓你們幫助我覺醒麼？"""
st_056210_0530#0,"""反應是【若人】沒錯……<br>但是有點兒不一樣！"""
