un_059010_0010#0,"""あれ、アルマさん？"""
un_059010_0020#0,"""おっ、<%me>に<br>二代目ちゃん。<br>仲よさげでうらやましいね。"""
un_059010_0030#0,"""１．艦橋にいなくていいのか？"""
un_059010_0040#0,"""２．誰か探しているのか？"""
un_059010_0050#0,"""艦橋にしかいられないって<br>わけじゃないからねー。"""
un_059010_0060#0,"""まー、もっともあそこにしか<br>わたしと話せる人いないから<br>これは本当にただの散歩だけど。"""
un_059010_0070#0,"""いやいや違うよ。<br>ただの気分転換、散歩だよ。"""
un_059010_0080#0,"""それにほら、探し人がいたとして<br>見つけたとしても、話せないしさ。<br>それじゃ仕方がないでしょー。"""
un_059010_0090#0,"""あ、そうか。<br>わたしたち以外には<br>アルマさん、見えてないんだっけ。"""
un_059010_0100#0,"""うん、そういうこと。<br>それに、わたしがいたころから<br>四十年は経っちゃってるからね。"""
un_059010_0110#0,"""こうして見て回るだけでも<br>結構楽しかったりするかな。"""
un_059010_0120#0,"""ちなみに、二人とも。<br>言ったとおり、わたしは<br>他の人からは姿が見えません。"""
un_059010_0130#0,"""つまり今のこの状況は、二人が<br>何もない宙に向かって話しかけてる。<br>正真正銘の変な人、かな。"""
un_059010_0140#0,"""……ここにもいないか。"""
