Name#0,"""莉亞"""
Trouble#0,"""槍砲管制上有問題!?<br>嘖......暫時先下降!"""
PassMessage#0,"""在上空中!<br>偵察飛行中!"""
PassMessage2#0,"""在上空中!<br>編隊偵察飛行中!"""
DropHelpItem#0,"""帶來救援物資了!<br>投下去!"""
DropEnemy#0,"""嗯......<br>總覺得物資很奇怪的很重啊......"""
Shooting#0,"""開始援護射擊。"""
FallMessage#0,"""嗚哇哇哇!<br>狀況沒有好轉，要緊急降落!"""
RequestDefense#0,"""抱歉!<br>修理期間要請求護衛!"""
RequestDefense2#0,"""修理期間要拜託你護衛了!<br>嗯，但是可以修得好麼......"""
EnemyFront#0,"""前方有敵人的影子!要來了!"""
EnemyRight#0,"""右舵有敵人的影子!要來了!"""
EnemyBack#0,"""後方有敵人的影子!要來了!"""
EnemyLeft#0,"""左舵有敵人的影子!要來了!"""
Broken#0,"""損傷率超過70％了!<br>再這樣下去就糟糕了!"""
Destroy#0,"""已經不能等了，逃走吧!"""
SuccessDefence#0,"""已經修理完了!<br>謝謝你的援護!"""
EvFallMessage#0,"""唔......果然還是不行麼?<br>抱歉，要再次緊急降落!"""
EvRequestDefense#0,"""不管幾次我都要修給你看!<br>所以就拜託你護衛了!"""
EvBroken#0,"""嗚嗚嗚，還是不行啊......"""
EvDestroy#0,"""啊，還是不行!<br>抱歉，要逃走才行了!"""
EvSuccessDefence#0,"""給你添麻煩了!<br>已經沒問題了，謝謝!"""
EvDarker#0,"""嗯?操縱沒用......!?<br>這是緊急狀況!要逃走才行!"""
Trouble#1,"""計器類有問題!?<br>嘖......暫時先下降!"""
PassMessage#1,"""在上空中!<br>搜索敵人中!"""
PassMessage2#1,"""在上空中!<br>編隊搜索敵人中!"""
DropHelpItem#1,"""現在要投下救援物資!<br>請注意!"""
DropEnemy#1,"""現在到的還真的是救援物資呢......"""
Shooting#1,"""開始援護射擊。"""
FallMessage#1,"""嗚哇哇，無法控制!?<br>要緊急降落!"""
RequestDefense#1,"""抱歉!<br>修理期間能請你護衛一下麼?"""
RequestDefense2#1,"""修理機體的期間請幫忙護衛!<br>雖然不知道能不能修好!"""
EnemyFront#1,"""前方有敵人的影子!要來了!"""
EnemyRight#1,"""右舵有敵人的影子!要來了!"""
EnemyBack#1,"""後方有敵人的影子!要來了!"""
EnemyLeft#1,"""左舵有敵人的影子!要來了!"""
Broken#1,"""損害擴大!<br>在這樣就無法再修理了!"""
Destroy#1,"""抱歉，已經不行了!<br>逃走吧!"""
SuccessDefence#1,"""久等了!<br>已經完全修理好了!"""
EvFallMessage#1,"""糟糕......機關緊急停止!<br>緊急降落!"""
EvRequestDefense#1,"""應該差一點就能修好了<br>抱歉，再麻煩你護衛一次!"""
EvBroken#1,"""修好後損傷又繼續增加......<br>要放棄麼?"""
EvDestroy#1,"""都一直努力到現在了說......!<br>......要逃走才行了!抱歉!"""
EvSuccessDefence#1,"""給你添麻煩了!<br>已經沒問題了，謝謝!"""
EvDarker#1,"""嗯?操縱沒用......!?<br>這是緊急狀況!要逃走才行!"""
Trouble#2,"""發生原因不明的問題!?<br>嘖......暫時先下降!"""
PassMessage#2,"""在上空中!<br>偵察任務中!"""
PassMessage2#2,"""在上空中!<br>編隊偵察任務中!"""
DropHelpItem#2,"""沒問題麼!<br>帶來救援物資了!"""
DropEnemy#2,"""物資有熱源反應......?<br>......算了，沒關係!"""
Shooting#2,"""開始援護射擊。"""
FallMessage#2,"""不會吧!無法控制!<br>要暫時緊急降落!"""
RequestDefense#2,"""修理機體!<br>要拜託你在修理期間幫忙護衛!"""
RequestDefense2#2,"""我相信會修好的!<br>拜託你護衛了!"""
EnemyFront#2,"""前方有敵人的影子!要來了!"""
EnemyRight#2,"""右舵有敵人的影子!要來了!"""
EnemyBack#2,"""後方有敵人的影子!要來了!"""
EnemyLeft#2,"""左舵有敵人的影子!要來了!"""
Broken#2,"""啊啊啊~，我的愛機愈來愈殘缺不全了啊!"""
Destroy#2,"""抱歉了沒修好!<br>要逃走了!"""
SuccessDefence#2,"""修理完了!<br>真是太好了，飛上空吧!"""
EvFallMessage#2,"""啊啊啊~果然還是沒來得及!<br>抱歉了，緊急降落!"""
EvRequestDefense#2,"""啊，還差一點點!<br>抱歉了要再修理!拜託你防衛了!"""
EvBroken#2,"""還沒好還沒好!<br>雖然已經殘破不堪，但我一定會修好給你看!"""
EvDestroy#2,"""啊啊......我的愛機......"""
EvSuccessDefence#2,"""給你添麻煩了!<br>已經沒問題了，謝謝!"""
EvDarker#2,"""嗯?操縱沒用......!?<br>這是緊急狀況!要逃走才行!"""
