st_042084_0010#0,"""……啊，<%me>。<br>那個……"""
st_042084_0020#0,"""有沒有感覺哪裡奇怪？"""
st_042084_0030#0,"""你這麼精神真是太好了"""
st_042084_0040#0,"""恩、恩。<br>雖然發生的淨是些奇怪的事情<br>但身體上應該沒什麼問題吧，大概。"""
st_042084_0050#0,"""恩，也許應該說，托你們的福？"""
st_042084_0060#0,"""……我來到這兒，你們都不震驚的啊。<br>就好像早就知道我要來這裡似的。"""
st_042084_0070#0,"""比、比起這個你的身體真的不要緊嗎？<br>我們可擔心會不會<br>又有幻創種來襲擊你了！"""
st_042084_0080#0,"""……你們，擔心我？"""
st_042084_0090#0,"""那是當然的呀！<br>雖然共處的時間不長<br>但我們好歹是並肩作戰過的夥伴呀！"""
st_042084_0100#0,"""雖然倒是有確認過你沒事<br>可也沒辦法跑去見你……<br>果然像這樣直接見到你，還是會安心一些呢。"""
st_042084_0110#0,"""話說回來呀火継小姐。<br>你剛才說有什麼想問的對吧？"""
st_042084_0120#0,"""鄙人雪拉，當知無不言。"""
st_042084_0130#0,"""那我就不客氣問了……<br>……你們，是BUG嗎？……不對<br>不是那個意思啦！那個那個……"""
st_042084_0140#0,"""恩－－恩恩恩－－，啊，不對，不是這個……<br>我該問什麼才好啊……？"""
st_042084_0150#0,"""是人類嗎？怎麼看都是人類吧……<br>那是從哪來的？……肯定原本就是在這裡的呀。"""
st_042084_0160#0,"""啊可惡，要問的事情多得我腦子都亂了！<br>我到底是想問什麼來著啊！"""
st_042084_0170#0,"""是想問和火継小姐在一起的<br>那個叫阿有的男孩子嗎？"""
st_042084_0180#0,"""對！那個也是！<br>……等等，你們為什麼會知道阿有的名字？"""
st_042084_0190#0,"""算了，總之就先問這個好了！<br>阿有是什麼人？那孩子是何方神聖啊？<br>是人類嗎？是這個世界的人嗎？"""
st_042084_0200#0,"""還是說，他是別的什麼東西？！"""
st_042084_0210#0,"""……抱歉，這個還不是很清楚。<br>我們這邊的情報還不太足<br>所以很難判斷。"""
st_042084_0220#0,"""怎麼會……"""
st_042084_0230#0,"""火継你怎麼覺得？"""
st_042084_0240#0,"""火継你希望他是什麼？"""
st_042084_0250#0,"""……我嗎？你問我是怎麼看待阿有的？"""
st_042084_0260#0,"""我希望阿有是什麼……？"""
st_042084_0270#0,"""阿有……是個BUG。大家都應該是BUG才對。<br>畢竟，聖母她都這麼說了……<br>所以應該……是這樣才對的……"""
st_042084_0280#0,"""……真的就如聖母所說嗎？"""
st_042084_0290#0,"""…………抱歉。<br>我好像還有點亂。<br>腦子裡都亂七八糟的。"""
st_042084_0300#0,"""我還需要點時間稍微整理一下。<br>今天我，就先回去了。"""
st_042084_0310#0,"""……好的。<br>不用客氣，你隨時來就好，火継小姐。"""
st_042084_0320#0,"""……恩。<br>也謝謝你，<%me>。"""
