name01#0,"""女學生Ａ"""
name02#0,"""女學生Ｂ"""
un_042030_0001#0,"""A.D.2028/3/24"""
un_042030_0010#0,"""唔－－，欸，怎麼回事？<br>好奇怪啊……"""
un_042030_0020#0,"""這次的斷片情報中，影像化的部分出現了錯誤……<br>……也許，這部分沒辦法再現為影像了。"""
un_042030_0030#0,"""太遺憾了……！<br>不過聲音倒是有再現成功<br>我們就光聽聽聲音，確認一下吧。"""
un_042030_0040#0,"""……恩，很好。<br>火継，裡面沒有人哦，就是現在－－"""
un_042030_0050#0,"""……我們進，阿有。"""
un_042030_0060#0,"""姐、姐姐－－……<br>把眼睛上的這個摘下來嘛。<br>什麼都看不見，我好害怕。"""
un_042030_0070#0,"""絕對不行。<br>你敢摘就揍你。"""
un_042030_0080#0,"""眼睛蒙得那麼嚴實，阿有弟弟好可憐。"""
un_042030_0090#0,"""而且，我就算被阿有弟弟看到了<br>也不會在意的啦－－"""
un_042030_0100#0,"""煩死了。<br>別廢話趕緊把他身子洗了。<br>來，阿有你坐這邊。"""
un_042030_0110#0,"""哇唔！<br>姐、姐姐，好難受……！"""
un_042030_0120#0,"""就一會兒而已，你忍著點。"""
un_042030_0130#0,"""哇、哇、哇！"""
un_042030_0140#0,"""呀。"""
un_042030_0150#0,"""恩？這個軟軟的是什麼呀……"""
un_042030_0160#0,"""啊，等等啦，阿有弟弟可真是的……！"""
un_042030_0170#0,"""啊……喂！把你手拿開阿有！<br>冰莉你好歹也稍微抵抗一下啊！"""
un_042030_0180#0,"""在這種地方好羞恥……不過……<br>既然阿有弟弟這麼想摸<br>那我也只有乖乖承受啦！"""
un_042030_0190#0,"""你是不是傻啊！"""
un_042030_0200#0,"""……姐姐。<br>還沒完嗎？"""
un_042030_0210#0,"""啊……！"""
un_042030_0220#0,"""……你、你、你、你在摸哪啊！<br>笨蛋！笨蛋阿有！給我停下！"""
un_042030_0230#0,"""什麼都看不見，根本搞不懂嘛……<br>我是摸到了什麼地方呀？<br>摸著倒是比剛才的小一點……"""
un_042030_0240#0,"""哼！"""
un_042030_0250#0,"""好疼！"""
un_042030_0260#0,"""幹、幹嘛連我都要打……！"""
un_042030_0270#0,"""……好了！身子洗完了！<br>泡完澡就趕緊出去！"""
un_042030_0280#0,"""哈啊……全身的疲憊都被洗滌一空……<br>最近肩膀酸得可厲害了呢……"""
un_042030_0290#0,"""成天抱著那麼大的玩意<br>不酸才怪……哼！"""
un_042030_0300#0,"""太大了也沒什麼好的呀。<br>只是會被別人毫無顧忌地盯著看罷了。"""
un_042030_0310#0,"""哼。有料的怎麼會知道沒料的苦惱？"""
un_042030_0320#0,"""可是，火継雖然你嘴上這麼說<br>實際上不也是正常尺寸嘛。<br>你這種反倒是剛剛好啦，肯定是這樣。"""
un_042030_0330#0,"""……要是我身高也是正常尺寸就好了。"""
un_042030_0340#0,"""什麼“太大”和“正常”呀<br>你們在說什麼？"""
un_042030_0350#0,"""……在說和你沒關係的事。"""
un_042030_0360#0,"""欸欸－－！<br>也帶我聊嘛！帶我聊啦！帶我聊啦！"""
un_042030_0370#0,"""哎真是的，你別鬧啦！<br>呀啊，都、都說你別摸了！你這傢伙！"""
un_042030_0380#0,"""說起來呀火継。<br>春假過了之後<br>要怎麼給阿有弟弟洗澡呢？"""
un_042030_0390#0,"""要是趁著沒人的時間來<br>洗澡的時間也許就會結束了哦。"""
un_042030_0400#0,"""……唔，這個嘛。"""
un_042030_0410#0,"""啊－－，阿有弟弟要是個女孩子<br>明明就沒有任何問題了呢。"""
un_042030_0420#0,"""……如果我是個女孩子<br>姐姐就不會煩惱了麼？<br>那我要當女孩子！"""
un_042030_0430#0,"""女孩子可不是你想當就能當的！"""
un_042030_0440#0,"""阿有弟弟，就算你當不成女孩子<br>也是可以無限接近於女孩子的……！"""
un_042030_0450#0,"""冰莉你閉嘴！"""
un_042030_0460#0,"""欸？這麼早就有人在泡澡啊<br>好少見。"""
un_042030_0470#0,"""切，我還想搶第一個泡呢。"""
un_042030_0480#0,"""糟糕！春假裡社團活動的人<br>這麼早就來了！？<br>冰、冰莉！你去爭取下時間！"""
un_042030_0490#0,"""爭、爭取時間……要怎麼爭取呀！？"""
un_042030_0500#0,"""你讓她們稍微等下就行！<br>我趁機把阿有藏起來！"""
un_042030_0510#0,"""……這個嘛，<%me>。<br>這段斷片情報<br>就當做我們倆之間的秘密吧。"""
