st_052040_0010#0,"""全軍撤退完畢！<br>哈莉艾特大人也趕緊撤退！"""
st_052040_0020#0,"""不，本宮在這裡<br>還有事情要做！"""
st_052040_0030#0,"""哈莉艾特大人……？<br>……難道！"""
st_052040_0040#0,"""……在此處顕現吧，破界的秘奥！"""
st_052040_0050#0,"""不可能的，哈莉艾特大人！<br>那個魔法……破界塔誰也不能控制<br>哈莉艾特大人是明白的吧！！"""
st_052040_0060#0,"""即使這樣，也必須這麼做。<br>能破壞魔神城的魔神結界<br>只有破界塔了。"""
st_052040_0070#0,"""……請回應！<br>為了淨化這個世界的污濁！"""
st_052040_0080#0,"""……！<br>果然……我還是不行！<br>憑我的靈魂……！"""
st_052040_0090#0,"""…………？"""
st_052040_0100#0,"""呼，這可真是千鈞一髮呢！"""
st_052040_0110#0,"""……您為什麼會來這裡……！"""
st_052040_0120#0,"""１．不能丟下你"""
st_052040_0130#0,"""２．因爲你在顫抖"""
st_052040_0140#0,"""就像<%me>說的！<br>就這樣放着這種情況不管的人<br>是不存在的！"""
st_052040_0150#0,"""以為只是隱藏在那裡<br>就大錯特錯了！　<br>沒有理由放下不管！"""
st_052040_0160#0,"""作為ARKS……不，<br>作為守護輝士，<br>不會坐視不管的！"""
st_052040_0170#0,"""守護，輝士……"""
st_052040_0180#0,"""……十分，感謝。"""
st_052040_0190#0,"""那個……現在道謝早了點呢。"""
st_052040_0200#0,"""即使是守護輝士，<br>和無限產生的敵人<br>一直戰鬥也是不可能的。"""
st_052040_0205#0,"""散落在各處的敵勢力好像<br>被哈莉艾特的軍隊阻止了……但是……"""
st_052040_0210#0,"""必須突破那個障壁，<br>破壞裏面出現的城堡！"""
st_052040_0220#0,"""……但是，城的周圍有障壁。<br>破壞那個可是相當難辦的。<br>這段時間，能撐住麼？"""
st_052040_0223#0,"""１．交給我了！"""
st_052040_0226#0,"""２．總會有辦法的"""
st_052040_0230#0,"""！？<br>破界塔……安定了！？"""
st_052040_0240#0,"""怎麼了<br>哈莉艾特？"""
st_052040_0250#0,"""破壞障壁的方法……<br>有也說不定。"""
st_052040_0260#0,"""您的力量……守護輝士的力量……<br>我是相信的。"""
