name01#0,"""遊戲內幫助"""
text01#0,"""<yellow>【玩家官網的介紹】<c><br><br>・「夢幻之星ONLINE2」的遊戲內容或<br>\u3000操作方法等，於以下網站中介紹。<br><br>\u3000<c 00ffff>「夢幻之星ONLINE2」玩家官網<c><br>\u3000<&URL pso2_players_manual><br><br>\u3000也會進行版本提升、活動告知等，<br>\u3000建議請定期確認。<br><br>\u3000<yellow>※從下頁起，介紹便利的功能等。<c>"""
text02#0,"""<yellow>【便利的鍵盤快速鍵】（1/2）<c><br><br>\u3000<green>※鍵的標記為初期設定的狀態。<c><br><br>\u3000・開啟主菜單：<yellow>[F1]鍵、[Home]鍵、[Esc]鍵<c><br><br>\u3000・開啟快速菜單：<yellow>[F9]鍵、[End]鍵<c><br><br>\u3000・開啟道具：<yellow>[F2]鍵、[I]鍵<c><br><br>\u3000・開啟武器裝備：<yellow>[F5]鍵、[U]鍵（自訂）<c><br>\u3000・開啟防具裝備：<yellow>[F6]鍵、[U]鍵（自訂）<c>"""
text03#0,"""<yellow>【便利的鍵盤快速鍵】（2/2）<c><br><br>\u3000・開啟瑪古：<yellow>[F4]鍵、[Y]鍵<c><br><br>\u3000・鏡頭的遠近：<yellow>[+]鍵<c> / <yellow>[-]鍵<c><br>\u3000・鏡頭的上下：<yellow>[/]鍵<c> / <yellow>[*]鍵<c><br><br>\u3000・大廳動作執行：<yellow>[Alt]+[A]～[Z]鍵<c><br><br>\u3000・拍攝螢幕截圖：<yellow>[PrintScreen]鍵<c>"""
text04#0,"""<yellow>【關於記錄窗口】<c><br><br>　「夢幻之星ONLINE2」是<br>　線上遊戲。與許多人一起合作，<br>　可以更樂在其中。<br><br>　過程當中的交流就是「聊天」。<br>　可在<%ChatStart>開始聊天輸入。<br><br>　※也可不按<%ChatStart>，利用直接鍵輸入聊天的<br>　　「直接聊天」模式。<br>　　（<yellow>以[ScrollLock]鍵<c>來ON/OFF）"""
text05#0,"""<yellow>【記錄窗口操作的便利功能】<c><br><br>\u3000・存貨：<yellow>[PageUp]鍵<c> / <yellow>[PageDown]鍵<c><br>\u3000\u3000※動作中也可以<br><br>\u3000・變更顯示頻道：<yellow>[Ctrl]+[←]<c>或<yellow>[→]鍵<c><br><br>\u3000・變更發言頻道：<yellow>[Alt]+[←]<c>或 <yellow>[→]鍵<c><br><br>\u3000・聊天輸入記錄：<yellow>[Ctrl]+[↑]<c>或<yellow>[↓]鍵<c><br><br>\u3000・直接聊天切換：<yellow>[ScrollLock]鍵<c>"""
text06#0,"""<yellow>【聊天輸入時的代入文字列指令】（1/2）<c><br><br>\u3000・<green><lt>me<gt><c><br>\u3000\u3000代入自己的角色名稱。<br><br>\u3000・<green><lt>target<gt><c> 或 <green><lt>t<gt><c><br>\u3000\u3000代入目前鎖定中的人或物的名稱。<br><br>\u3000・<green><lt>weapon<gt><c> 或 <green><lt>wp<gt><c><br>\u3000\u3000代入現在裝備中的武器名稱。<br>"""
text07#0,"""<yellow>【聊天輸入時的代入文字列指令】（2/2）<c><br><br>\u3000・<green><lt>photonarts<gt><c> 或 <green><lt>pa<gt><c><br>\u3000\u3000代入先前使用過的光子技能名稱。<br><br>\u3000・<green><lt>technic<gt><c> 或 <green><lt>tc<gt><c><br>\u3000\u3000代入先前使用過的法術名稱。<br><br>\u3000・<green><lt>pos<gt><c><br>\u3000\u3000代入現在的地圖座標。<br> \u3000（任務中以外無法使用）"""
text08#0,"""【只可在特殊情況下使用的代入文字列指令】<c><br><br>\u3000・<green><lt>basecolor<gt><c> 或 <green><lt>bc<gt><c><br>\u3000\u3000在採掘基地防衛戰時，代入最近據點的顏色。"""
text09#0,"""<yellow>【動作中的便利操作】<c><br><br>\u3000・切換武器快捷列（武器裝備）<br>\u3000\u3000<yellow>[R]鍵<c> / <yellow>[F]鍵<c><br><br>\u3000・快捷列的左右選擇與執行<br>\u3000\u3000以<yellow>[G]鍵<c> / <yellow>[H]鍵<c>選擇；以<yellow>[B]鍵<c>執行<br><br>\u3000・切換至其他快捷列<br>\u3000\u3000於武器快捷列切換中（參照上述），<br>\u3000\u3000<yellow>[G]鍵<c> / <yellow>[H]鍵<c>"""
text10#0,"""<yellow>【視窗模式的便利操作】（1/2）<c><br><br>\u3000・列表顯示中以頁面單位前進或後退<br>\u3000\u3000<yellow>[PageDown]鍵<c> / <yellow>[PageUp]鍵<c><br><br>\u3000・選擇多項道具，彙整操作<br>\u3000\u3000<yellow>[Ctrl]+點擊<c>為單一追加；<br>\u3000\u3000<yellow>[Shift]+點擊<c>為範圍追加<br><br>\u3000・切換分頁<br>\u3000\u3000<yellow>[Ctrl]+[PageUp]鍵<c> / <yellow>[Ctrl]+[PageDown]鍵<c>"""
text11#0,"""<yellow>【視窗模式的便利操作】（2/2）<c><br><br>\u3000・在分頁上鼠標滾輪旋轉，即可切換分頁。<br><br>\u3000・在金額輸入等的「數字鍵盤」上<br>\u3000\u3000旋轉鼠標滾輪，可上下調整位數的數值。<br><br>\u3000・在商店商品列表上以<yellow><%NextWidget><c><br>\u3000\u3000可在「購買」或「賣出」鍵移動游標。<br><br>\u3000・持有的鼠標具有「側鍵」時，<br>\u3000\u3000可自設定分配2個功能。"""
