st_044070_0001#0,"""A.D.2028/4/10/15:00"""
st_044070_0010#0,"""……好了，我們到地方了。"""
st_044070_0020#0,"""哇啊……！好漂亮！而且好寬敞！<br>竟然在拉斯維加斯的地下造了這麼棒的場地<br>地球先導的組織能力也太強了……"""
st_044070_0030#0,"""進入了拉斯維加斯的賭場之後<br>還換乘了兩次通往地下的電梯<br>才終於抵達了這裡……"""
st_044070_0040#0,"""看來，他們為了不讓別人發現正確的位置<br>有在做相當嚴密的防備啊。"""
st_044070_0050#0,"""總之，還是為了以防萬一嘛。<br>現在這時代，以太設施這麼普及<br>也不知道它的效果會波及到什麼地方。"""
st_044070_0060#0,"""……哈哈。<br>還挺熱鬧的啊，炎雅。"""
st_044070_0070#0,"""所以我不都提前跟你講過了嘛？<br>就算這樣也說要把這傢伙叫過來的<br>可是你啊，王子殿下？"""
st_044070_0080#0,"""沒關係。<br>反正我也喜歡熱鬧一點嘛。"""
st_044070_0090#0,"""<%me>、火継小姐。<br>初次見面。"""
st_044070_0100#0,"""我叫亞當＝聖克利德。<br>雖然也有些人喜歡開玩笑地把我叫作「王子」<br>不過，還是請各位用名字稱呼我吧。"""
st_044070_0110#0,"""王子……<br>難不成你就是……？"""
st_044070_0120#0,"""是的，鄙人不才<br>目前正擔任地球先導的指導者。<br>還請多擔待。"""
st_044070_0130#0,"""啊，我、我們這邊才是呢<br>您沒必要這麼客氣的。"""
st_044070_0140#0,"""<%me>。<br>久仰您大名了。<br>能得見您一面，我真是深感榮幸。"""
st_044070_0150#0,"""真是不好意思<br>還麻煩您特地勞駕至此。"""
st_044070_0160#0,"""何來久仰？"""
st_044070_0170#0,"""不必在意"""
st_044070_0180#0,"""您沒聽炎雅他提過嗎？<br>從許久以前，地球先導就與ARKS<br>在暗地裡有著極為隱秘的往來了。"""
st_044070_0190#0,"""我也在那時，了解到了許多<br>關於<%me>的事情。<br>據說您，是個強大、正直……也很溫柔的人。"""
st_044070_0200#0,"""……哈哈，看來確實如傳聞所言<br>是個溫柔的人啊。"""
st_044070_0210#0,"""我過去聽到的傳聞，全是些讚揚您的形容<br>不過，這次當面見到您<br>我也確實是心服口服了。"""
st_044070_0220#0,"""而且，一想到<%me>您和這些同伴們<br>是隔著一個維度，從另一個宇宙前來此處<br>我身為一介地球人，就對這次相逢頗為感慨。"""
st_044070_0230#0,"""啊，對哦……PSO2並不是遊戲中的世界<br>而是另一個維度的宇宙。所以說<%me><br>也就是外星人了啊。"""
