un_012100_0001#0,"""？？？"""
un_012100_0010#0,"""♪（在唱歌，但不知道唱的是什麼）<br>（感覺像是在清唱。似乎不錯呢？）"""
un_012100_0020#0,"""......嗯？　啊......！"""
un_012100_0030#0,"""啊，不、這個，這是......！<br>這個，就是那個！<br>其、其實不是啦！"""
un_012100_0040#0,"""咦......？"""
un_012100_0050#0,"""危險！"""
un_012100_0060#0,"""趕快逃！"""
un_012100_0070#0,"""......哇呀！"""
un_012100_0080#0,"""哈、哈德烈......！？<br>背、背叛者來這做什麼！"""
un_012100_0090#0,"""現在才<br>從黑暗種手中救我......！"""
un_012100_0100#0,"""是想要市恩麼！？<br>還是想求原諒！？"""
un_012100_0110#0,"""但是，晚了，一切都太晚了！"""
un_012100_0120#0,"""為什麼要背叛！<br>為什麼......你為什麼......！"""
un_012100_0130#0,"""等、等等我！<br>哈德烈，哈德烈！"""
un_012100_0140#0,"""不要跑！　與我一戰！"""
un_012100_0150#0,"""A.P.238/4/10"""
