un_041010_0010#0,"""……喲，前輩。"""
un_041010_0020#0,"""你來跟我打招呼<br>也就意味著稍微安頓下來了吧？"""
un_041010_0030#0,"""畢竟一看就知道，你應該是剛回歸沒多久<br>就被捲入了麻煩事裡，肯定忙得要死<br>我也不好意思去打擾你嘛。"""
un_041010_0040#0,"""……我們都有多久<br>沒這樣好好見上一面了？"""
un_041010_0050#0,"""我聽說你只是在睡覺而已，所以不會有什麼大礙<br>而且也並沒有在擔心前輩你啦……<br>但果然見到你聊一聊，還是會安心一些。"""
un_041010_0060#0,"""你是不是覺得我太誇張了？<br>可從我的視角來看，我還等了蠻久的哦。"""
un_041010_0070#0,"""你變成熟了"""
un_041010_0080#0,"""你變漂亮了"""
un_041010_0090#0,"""……是、是嘛？<br>那肯定，這時間一長<br>我當然也是會成長的啦。"""
un_041010_0100#0,"""變、變漂亮了嗎……<br>……那肯定，畢竟都過這麼久了。<br>我肯定也是會成長的呀。"""
un_041010_0110#0,"""……我說啊，就算你是想靠說點怪話<br>來逗我害羞，也是沒用的哦，前輩。"""
un_041010_0120#0,"""我都已經被尋開心慣了。<br>區區這程度，我是不會感到困惑的……"""
un_041010_0130#0,"""等等前輩，好近……！<br>你離太近了啦！"""
un_041010_0140#0,"""……真是的，幹嘛總那麼突然！<br>你要是敢做太過分的事情<br>小心我告訴瑪托依小姐去！"""
un_041010_0150#0,"""……哈哈，像這樣和前輩你聊著聊著<br>我總算是對你回來，有那麼點切身體會了。"""
un_041010_0160#0,"""雖然現在才認真說這些，可能有點晚……<br>……不過歡迎回來，前輩。<br>我一直都在等你哦。"""
linewindow001#0,"""可以邀請伊歐（EP4）作為夥伴加入隊伍了。"""
