un_042040_0001#0,"""A.D.2028/3/24"""
un_042040_0010#0,"""哈啊……明明只是買了點東西、泡了個澡<br>怎麼感覺今天突然好累……"""
un_042040_0020#0,"""阿有，被子蓋得還舒服嗎？<br>枕頭也有吧？"""
un_042040_0030#0,"""恩、恩，姐姐……"""
un_042040_0040#0,"""那我關燈了啊。"""
un_042040_0050#0,"""……哈啊，總感覺好久沒這麼<br>舒舒服服地睡過覺了。"""
un_042040_0060#0,"""就讓我至少在夢裡頭，什麼也不想<br>舒舒服服地睡個爽吧……"""
un_042040_0070#0,"""呀！？"""
un_042040_0080#0,"""阿、阿有？怎麼了這是？<br>你的被子不是在那邊嘛？"""
un_042040_0090#0,"""欸……<br>阿有……你在發抖嗎？"""
un_042040_0100#0,"""對不起，姐姐……<br>但是黑黑的，我好怕。"""
un_042040_0110#0,"""感覺就像是要被帶到哪裡去似的……<br>被什麼給吸進去似的……"""
un_042040_0120#0,"""就像要變回成<br>遇到姐姐之前的我了似的……<br>我好害怕自己會離開姐姐。"""
un_042040_0130#0,"""阿有……"""
un_042040_0140#0,"""上來吧，阿有。"""
un_042040_0150#0,"""……欸，可以嗎？"""
un_042040_0160#0,"""我是你的姐姐呀。怎麼可以放著<br>這愛擔驚受怕的弟弟一個人不管呢？<br>行啦，快過來吧。"""
un_042040_0170#0,"""……恩。<br>謝謝姐姐。"""
un_042040_0180#0,"""我很理解阿有弟弟的感受。<br>我非常非常理解。"""
un_042040_0190#0,"""和什麼人在一起<br>真的是能讓人感覺非常安心呢。"""
un_042040_0200#0,"""而且，我也一直是孤零零一個人<br>待在這管理艦橋裡，所以就更是如此了！<br>說真的，其實還挺寂寞的……"""
un_042040_0210#0,"""不過呀不過呀，<br>最近<%me><br>您總是過來陪我，所以我已經不寂寞了哦！哼哼。"""
