st_058030_0010#0,"""快點！"""
st_058030_0020#0,"""再快點！"""
st_058030_0030#0,"""別離開我、跟我來！"""
st_058030_0040#0,"""哇、哇、哇！<br>啊、總覺得有點手忙腳亂呢。<br>混乱……不是那種感覺。"""
st_058030_0050#0,"""好了好了、準備好了的人<br>向西邊移動、快移動！<br>行李是最低限度的！"""
st_058030_0060#0,"""這個地方有再次成爲戰場的可能性。<br>爲了保護大家、請接受<br>暫時的避難。"""
st_058030_0070#0,"""不要慌不要吵！<br>不明白的地方可以問<br>我們的近衛兵、他們會回答的！"""
st_058030_0080#0,"""這個聲音……瑪露桑！？<br>還有、阿麗莎桑！<br>王城到了、快點！"""
st_058030_0090#0,"""瑪露桑！"""
st_058030_0100#0,"""真是太不敬了……！<br>終於來啦妖精！"""
st_058030_0110#0,"""還有、守護輝士。<br>恭候多時了。"""
st_058030_0120#0,"""你們二人、爲什麼會在這裏？"""
st_058030_0130#0,"""你在這裏做什麼？"""
st_058030_0140#0,"""如你所見、昆特國民的<br>避難引導。"""
st_058030_0150#0,"""光我一個人的話、昆特国民<br>大概還不能完全相信<br>劍之巫女也在幫忙。"""
st_058030_0160#0,"""避難引導……瑪露桑<br>你知道發生了什麼嗎？"""
st_058030_0170#0,"""我不知道發生了什麼。<br>不過、我知道事情不妙。<br>遠遠就能看見的吧、那黑色的繭。"""
st_058030_0180#0,"""黑水以那個爲中心涌了出來。<br>那裏出現了沒完沒了的魔物和魔神城<br>當地一片混亂。"""
st_058030_0190#0,"""我们必须竖起一堵墙<br>防止他们进来<br>在這期間国民转移。向西避難。"""
st_058030_0200#0,"""艾匹克無論何時都歡迎移民！<br>雖然對於人類居住來說是很殘酷的地方！"""
st_058030_0210#0,"""儘管與邪龍無關<br>劍也借給了我力量。<br>也就是說、事態到了這種地步。"""
st_058030_0220#0,"""……劍說。那是災難的顯現。<br>超越紅色邪龍的威脅正在胎動。"""
st_058030_0230#0,"""而且在這種時候率先行動的<br>哈莉艾特卻下落不明？<br>那就只能由我來努力了。"""
st_058030_0240#0,"""如果那孩子在的話、首先會讓國民<br>逃到安全的地方吧。<br>所以我就代替她做了。"""
st_058030_0250#0,"""好了、我已經回答了你的問題。<br>那麼接下來是我的問題。"""
st_058030_0255#0,"""……哈莉艾特、在哪？"""
st_058030_0260#0,"""……那是。"""
st_058030_0270#0,"""……被吸收了吧。<br>那個、黑色的繭。"""
st_058030_0280#0,"""別露出你怎麼知道的表情。<br>考慮到現狀、這是當然的。"""
st_058030_0290#0,"""到了這個地步<br>哈莉艾特也沒有回來。<br>很明顯她自己出了什麼事。"""
st_058030_0300#0,"""受傷的話你是不會離開的。<br>如果死了的話應該會先這樣報告的吧。<br>那麼、肯定是被擄走了。"""
st_058030_0310#0,"""然後、首先要求<br>對現狀的說明。<br>不必急於確定地點。"""
st_058030_0320#0,"""也就是說、被擄走的地方也知道。<br>這樣的現狀只有一個。"""
st_058030_0330#0,"""……真厲害啊、瑪露桑。"""
st_058030_0340#0,"""雖然是曾經製作過心操秘藥的國家的<br>國王啊、但我沒有做喲。"""
st_058030_0350#0,"""……我也知道<br>你們在猶豫。"""
st_058030_0360#0,"""所以、我作爲國王<br>使勁推你一把！"""
st_058030_0370#0,"""該做什麼好<br>已經很清楚了！"""
st_058030_0380#0,"""沒有那個的時候沒問題！<br>有那個的時候就有問題！<br>也就是說、只是想辦法解決那個問題而已！"""
st_058030_0390#0,"""但是、那黑色的繭裏有<br>哈莉艾特桑……"""
st_058030_0400#0,"""那裏……嗯嗯<br>那就交給守護輝士吧！"""
st_058030_0410#0,"""軽っ！"""
st_058030_0420#0,"""妖精、只有這樣了吧！<br>我們無能為力的事情<br>守護輝士會做到的！"""
st_058030_0430#0,"""……正如艾匹克神王所言。<br>守護輝士一直將不可能<br>變爲可能。"""
st_058030_0440#0,"""討伐並祓除紅色邪龍<br>救出了其中<br>被捕獲的叔父。"""
st_058030_0450#0,"""被黑暗吞噬的我<br>也拯救了。"""
st_058030_0460#0,"""而且、你的功績<br>不僅僅是這些。"""
st_058030_0470#0,"""被問到「你相信什麼？」<br>「相信守護輝士」才是<br>最重要的！"""
st_058030_0480#0,"""相信這一點、併爲此而合作！<br>不管結果如何<br>都只是「相信的結果」而已！"""
st_058030_0490#0,"""所以你沒有必要<br>感到責任感<br>也沒有必要猶豫不決。"""
st_058030_0500#0,"""承擔決斷責任的是<br>是作爲王的我和哈莉艾特。"""
st_058030_0510#0,"""瑪露桑……"""
st_058030_0520#0,"""呼・呃・咦！<br>請好好叫我的名字！"""
st_058030_0530#0,"""守護輝士。<br>如果是你的話、就可以。"""
st_058030_0540#0,"""劍是這麼說的。<br>重複了無數次的奇迹<br>現在只是再次在這裏發生而已。"""
st_058030_0550#0,"""不、即使劍不說……<br>我……阿麗莎、就是這樣想的。"""
st_058030_0560#0,"""面對世界的災難、這把刃。<br>將會支持你的行動<br>此時此刻、立下誓言。"""
st_058030_0570#0,"""幫助哈莉艾特吧"""
st_058030_0580#0,"""拯救世界吧"""
skit01#0,"""The Saviors"""
skit02#0,"""英雄在此集結"""
name01#0,"""市民"""
name02#0,"""市民"""
