st_055110_0010#0,"""回溯召喚的準備已經做完了。<br>召喚對象......全知存在。"""
st_055110_0020#0,"""哈莉艾特......你是最棒的容器。<br>成爲那個存在的容器<br>這次你一定可以，轉生。"""
st_055110_0030#0,"""沒有什麼好害怕的。<br>這不是死亡而是新生。"""
st_055110_0040#0,"""你將會轉生。<br>得到和那個容器相吻合的靈魂。"""
st_055110_0050#0,"""然後，我將和你一起......<br>這次我一定可以獲得全知！"""
st_055110_0060#0,"""哥哥......唔嗯，盧瑟。<br>你在那裏能看到什麼？"""
st_055110_0070#0,"""......這是在問一個科學家學問的價值麼？"""
st_055110_0080#0,"""我爲了人民，可以捨棄這個身體......<br>如果可以拯救世界的話<br>我很樂意奉獻這個身體。"""
st_055110_0090#0,"""......但是，如果不是那樣的話。<br>就不能在這裏隨便死掉。"""
st_055110_0100#0,"""我爲了拯救沒有力量的人<br>站在這裏。<br>作爲哈莉艾特。"""
st_055110_0110#0,"""不是其他人，而是憑藉你的手<br>就那樣......爲了那個<br>被喚來的！"""
st_055110_0120#0,"""呼喚......我的手......？<br>你在說什麼，哈莉艾特<br>那時，在這裏那個身體......！"""
st_055110_0130#0,"""......嘔，咕，咕嗚嗚嗚嗚！"""
st_055110_0140#0,"""哈莉艾特！ 你還好吧！"""
st_055110_0150#0,"""守護輝士！　雪拉！<br>你們來救我了啊！"""
st_055110_0160#0,"""......你們，是怎麼找到這裏的。"""
st_055110_0170#0,"""和你說的地方<br>一模一樣的地方呢。<br>也就是說，那全部都是事實......"""
st_055110_0180#0,"""又要來破壞我的好事......！<br>又是你，混蛋！<br>總是總是總是總是來礙我的事！"""
st_055110_0190#0,"""又一次？"""
st_055110_0200#0,"""被附身了麼"""
st_055110_0210#0,"""【敗者】的記憶麼"""
st_055110_0220#0,"""......好像是這樣呢。<br>和【敗者】狂亂是的樣子<br>非常像。"""
st_055110_0230#0,"""......是這樣呢。<br>不是【敗者】的話<br>是不會說出那種話的。"""
st_055110_0240#0,"""【敗者】......【敗者】。<br>對了，我的名字是【敗者】。<br>掌握全知的人！"""
st_055110_0250#0,"""你們......<br>ARKS又來礙事！<br>不止一次，還來第二次......！"""
st_055110_0260#0,"""雪拉和哈莉艾特一起去避難"""
st_055110_0270#0,"""黑暗法爾斯的對手就讓我來"""
st_055110_0280#0,"""請小心！"""
name01#0,"""？？？"""
name02#0,"""？？？"""
