IncidentName#0,"""開採大量樣本！"""
TrialBeginMsg#0,"""使用開採機，在一定時間內<br>開採一定數量的樣本！"""
TrialAbstract#0,"""使用開採機，在一定時間內<br>開採一定數量的樣本！"""
ToastOnHalfFinish#0,"""距離達成指定目標還剩一半。"""
ToastOnLast#0,"""距離達成指定目標還剩1個。"""
NpcComOnBegin#0,"""這附近應該就是定點。<br>使用開採機找找看。"""
NpcComOnSuccess#0,"""開採作業似乎順利結束了。<br>這個定點應該就到此為止了。<br>嗯，成果很理想。"""
NpcComOnFailure#0,"""找錯定點了麼......？<br>算了，期待下一個機會吧。"""
NpcComOnAccess#0,"""你知道開採機的使用方式吧？<br>看到發光的時候調查就行了。"""
NpcComOnHit#0,"""哦，這真是太棒了。在那個地點<br>竟然能挖掘到如此貴重的東西。"""
NpcComOnMiss#0,"""不用執著於一個地點<br>也可以試試其他開採機。"""
NpcComOnPreSuccess#0,"""似乎已經達成指定目標了。<br>還有可以挖的地方<br>再找找看吧"""
NpcComOnPreFinish#0,"""開採機的起動時間差不多到極限了。<br>要開採的話就動作快。"""
NpcComOnBegin#1,"""ポイントはこの周辺です。<br>採掘機を用い、探索を。"""
NpcComOnSuccess#1,"""採掘作業の完了を確認。<br>このポイントはここまでのようです。"""
NpcComOnFailure#1,"""……採掘ポイントの誤検知？<br>仕方がありません。<br>次の機会を待ちましょう。"""
NpcComOnAccess#1,"""採掘機が輝いているタイミングで<br>アクセスしてください。<br>それで採掘機は機能します。"""
NpcComOnHit#1,"""良い物が発掘されましたね。<br>データとしても貴重です。"""
NpcComOnMiss#1,"""その場のみに固執せず<br>他の採掘機も利用すると<br>よろしいかと。"""
NpcComOnPreSuccess#1,"""ノルマの達成を確認。<br>まだ余裕はありますので<br>発掘を続けても構いません。"""
NpcComOnPreFinish#1,"""採掘機の起動時間限界が近いです。<br>採掘を行うのであれば<br>お急ぎください。"""
