st_058160_0010#0,"""不可能……我竟然……失敗了……？"""
st_058160_0020#0,"""是的。<br>你敗給了守護輝士。"""
st_058160_0030#0,"""徒花被淨化了……<br>但是爲什麼你會在那裏！<br>爲什麼沒有消失！　哈莉艾特！"""
st_058160_0040#0,"""決定世界的是自己的意志。<br>……因為我期待未來<br>所以我現在在這裏。"""
st_058160_0050#0,"""……但是、沒用的、沒用的！<br>因爲這裏是重複的世界！"""
st_058160_0060#0,"""即使打倒現在的我<br>我也還會再次出現！<br>這裏有這麼多的因子！"""
st_058160_0070#0,"""呵呵、呵呵呵、哈哈哈哈！<br>果然、歷史是這樣的……<br>也就是說、歷史結束了……"""
st_058160_0080#0,"""如果現在就在這裏消失的話<br>多少會好一些、我想是吧。"""
st_058160_0090#0,"""那是怎麼回事……"""
st_058160_0100#0,"""不要以爲未來只有希望。<br>不要以爲明天會被陽光包圍。<br>絕望就在你們身邊。"""
st_058160_0110#0,"""反覆折磨、多次折磨。<br>繼續承受世界的怨恨……<br>就這樣絕望地毀滅去吧……！"""
st_058160_0120#0,"""哈哈哈、哈哈哈哈哈哈！"""
st_058160_0130#0,"""最後感覺像是丟了面子<br>卻不服輸、是吧……"""
st_058160_0140#0,"""……比起這個<br>哈莉艾特桑、你沒事吧？"""
st_058160_0150#0,"""沒關係……不知道<br>該不該這麼說……<br>我的心、還在這裏。"""
st_058160_0160#0,"""守護輝士、多虧了您。"""
st_058160_0170#0,"""但是、因為我的原因<br>給大家和世界<br>帶來了很多傷害……"""
st_058160_0180#0,"""事到如今、就算我能活下去……"""
st_058160_0190#0,"""哈莉艾特－－－！<br>平安無事啊、平安無事啊！<br>真是－－－太好了－－－！"""
st_058160_0200#0,"""啊、瑪爾伽蕾塔……！？"""
st_058160_0210#0,"""……辛苦了、哈莉艾特大人。<br>首先讓我們為平安重逢而高興吧。"""
st_058160_0220#0,"""阿麗莎也……"""
st_058160_0230#0,"""嗯？　你臉色爲什麼這麼陰沉啊？<br>不開心嗎？　你還活着啊。"""
st_058160_0240#0,"""還活着……啊、不是<br>但是、都怪我給大家添麻煩了……"""
st_058160_0250#0,"""笨蛋！<br>爲什麼要這麼在意呢！<br>國王就是給別人添麻煩的傢伙！"""
st_058160_0260#0,"""而且這次不是你<br>全部都是埃里米爾的不好！<br>這不是哈莉艾特要在意的事！"""
st_058160_0270#0,"""看看我們的神吧！<br>反復無常的偷懶或是下神罰<br>這才是麻煩的事情！"""
st_058160_0280#0,"""別說了笨蛋國王。<br>你看起來是想受到神罰麼。"""
st_058160_0290#0,"""啊、神明大人……！<br>這只是比喻或者類似的說法……<br>嗯、我沒有說謊！"""
st_058160_0300#0,"""算了、神是寬大的。<br>神罰暫且擱置。"""
st_058160_0310#0,"""結果還是會受到神罰！"""
st_058160_0320#0,"""比起這個、你知道嗎？<br>這樣下去的話會消失的。"""
st_058160_0330#0,"""你的容器消失了。<br>這裏只有靈魂的殘渣。"""
st_058160_0340#0,"""雖然現在殘渣還保留下來<br>但如果沒有靈魂的承接物的話<br>遲早也會失去原有的形態。"""
st_058160_0350#0,"""……是的。我知道。<br>原本、我擁有心靈<br>就已經是奇迹了。"""
st_058160_0360#0,"""然後、最後和大家見面了。<br>我的記憶、到此結束也足夠了。<br>我從心底也這麼想。"""
st_058160_0370#0,"""你別胡說八道！<br>好不容易成爲朋友……<br>這樣就不可能再見了！"""
st_058160_0380#0,"""神明大人！<br>因為是神所以請想想辦法吧！"""
st_058160_0390#0,"""你真是胡說八道。<br>但是、我最喜歡你那該死的膽量了。"""
st_058160_0400#0,"""哈莉艾特。<br>你的靈魂、留下來才是正確的歷史。"""
st_058160_0410#0,"""所以你要繼承我。<br>作為我的後任……<br>作為神、支撐這個世界吧。"""
st_058160_0420#0,"""……如果接受的話<br>我就會成爲你的身體。"""
st_058160_0430#0,"""因為我可是很擅長這樣啊。<br>以前也這樣做過一次。"""
st_058160_0440#0,"""哈欠！"""
st_058160_0450#0,"""但是、那樣的話你……<br>艾匹克王國不就失去了神的力量<br>會不會變成嚴重的事情……"""
st_058160_0460#0,"""神的力量？！<br>比起那些、這個世界<br>更需要哈莉艾特吧！"""
st_058160_0470#0,"""哈哈哈！<br>你說神的力量是那樣的嗎<br>笨蛋國王！"""
st_058160_0480#0,"""好啊就沒有考慮過之後事情的樣子！<br>和我最喜歡的那個傢伙一模一樣！"""
st_058160_0490#0,"""哈欠！　哈欠！"""
st_058160_0500#0,"""我原本就是亡靈。<br>這本是「不可能的事情」。<br>你沒有什麼可在意的。"""
st_058160_0510#0,"""既然終將消失、那就爲了誰。<br>就當是神賜予的禮物收下吧。"""
st_058160_0520#0,"""你拯救了瑪爾伽蕾塔。"""
st_058160_0530#0,"""你拯救了阿露瑪。"""
st_058160_0540#0,"""所以、這樣就不欠你的了。"""
st_058160_0550#0,"""……是的。<br>謝謝、謝謝。"""
st_058160_0560#0,"""……雖然不太清楚為什麼<br>哈莉艾特會成為我們的神？"""
st_058160_0570#0,"""也就是說、艾匹克和昆特國<br>會合併到一起嗎？"""
st_058160_0580#0,"""那樣的話、不改國名不行啊！<br>神聖艾匹克昆特魔道国、這樣！"""
st_058160_0590#0,"""瑪爾桑……<br>這樣命名感覺也太糟糕了。"""
st_058160_0600#0,"""「也」是什麼意思啊！「也」什麼的！<br>如果對我不敬的話<br>一定會受到哈莉艾特的神罰的！"""
st_058160_0610#0,"""神罰也不是那麼<br>輕鬆就能降下的。<br>而且、我也得馬上回去。"""
st_058160_0620#0,"""回去、去哪裏？"""
st_058160_0630#0,"""因為繼承了神位<br>回到那個應有的場所……<br>必須回到世界本身。"""
st_058160_0640#0,"""神的具現這種行爲<br>就這一次、所以。"""
st_058160_0650#0,"""那麼、那麼、結果哈莉艾特<br>還是會從這裏消失！？<br>我討厭變成那樣！"""
st_058160_0660#0,"""不、不是消失。<br>我將與世界融爲一體<br>成爲支持大家的存在。"""
st_058160_0670#0,"""原本出自空虛的我<br>成爲支撐大家的基礎。<br>……沒有比這更高興的事了。"""
st_058160_0680#0,"""哈莉艾特……"""
st_058160_0690#0,"""不要悲傷<br>瑪爾伽蕾塔。"""
st_058160_0700#0,"""沒關係、我已經習慣了<br>作爲神王的你<br>應該隨時都能見面的。"""
st_058160_0710#0,"""在那之前、那個……<br>神聖艾匹克昆特魔道国、是嗎？<br>請多關照。"""
st_058160_0720#0,"""啊、妖精！　守護輝士！<br>你們的身體上<br>也出現了奇怪的東西！？"""
st_058160_0730#0,"""救世實現了。<br>……是這樣啊。"""
st_058160_0740#0,"""……守護輝士。<br>感謝的話之前已經說過了。<br>所以、我只想說一句話。"""
st_058160_0750#0,"""真心希望能有<br>再次相見的時候。"""
st_058160_0760#0,"""再見了、守護輝士。<br>我永遠與你們同在。"""
name01#0,"""初代克拉莉絲克蕾絲"""
name02#0,"""？？？"""
