text01001#0,"""午安！<br>你是ARKS的成員吧？"""
11_voice_NPC_5096_100#0,"""嗯，嗯嗯，合格！"""
text01003#0,"""啊，抱歉抱歉。<br>我的名字叫希伊。"""
11_voice_NPC_5096_104#0,"""進步是什麼樣的感覺？<br>我會一直等你的！"""
11_voice_NPC_5096_100#1,"""嗚嗚～<br>這個季節的納貝流士行星<br>好潮濕喔，我很不喜歡。"""
text02022#0,"""所以我想拜託你！<br>我需要你的幫助！"""
11_voice_NPC_5096_104#1,"""いやー、森林火災の危機だったね！<br>まさかこんなことになるとは<br>思わなかったもん！"""
text03002#0,"""でもでも、今回も貴方のおかげで<br>ちゃんと解決できたよ！"""
11_voice_NPC_5096_100#2,"""調查之後才發現，<br>星艦內原來也有很多都市傳說耶！<br>我嚇了一跳說！"""
text01001#1,"""こんにちはっ！<br>今年もやってきたね、長雨の季節！"""
11_voice_NPC_5096_104#2,"""進捗はどんな感じかなっ？<br>いつまででも待つからねっ！"""
