st_061035_0010#0,"""那個、莉莎……<br>現在莉莎小姐<br>應該怎麼稱呼？"""
st_061035_0020#0,"""怎麼說呢<br>莉莎就是莉莎<br>所以請用你喜歡的來叫我好了。"""
st_061035_0030#0,"""有事找哈莉艾特的時候<br>只要跟她打聲招呼<br>她馬上就能出來、對吧。"""
st_061035_0040#0,"""正如莉莎所說、大家的聲音<br>是能傳達給我。"""
st_061035_0050#0,"""話雖如此、身體卻只有一個。<br>雖然給莉莎和大家都帶來了不便<br>但請原諒。"""
st_061035_0060#0,"""……確實、要習慣的話<br>可能要花點時間。"""
st_061035_0070#0,"""啊、正好哈莉艾特<br>因為出來了<br>所以我想確認一下。"""
st_061035_0080#0,"""現在、在這裏的<br>哈莉艾特、對歐米茄發生的事情<br>還有多少瞭解。"""
st_061035_0090#0,"""你還記得對方嗎？"""
st_061035_0100#0,"""與歐米茄的哈莉艾特不是同一個人？"""
st_061035_0110#0,"""……呵呵。<br>那時候、承蒙您的關照。"""
st_061035_0120#0,"""可以認為是同一個人<br>沒有關係。"""
st_061035_0130#0,"""歐米茄的哈莉艾特、成為了神<br>然後、出現在這裏。"""
st_061035_0140#0,"""……是啊。<br>如果認爲和阿爾瑪一樣的話<br>就很容易聯想到嗎。"""
st_061035_0150#0,"""所以、守護輝士。<br>我還記得您的努力。<br>感謝的話、無法言錶。"""
