IncidentName#0,"""$(0)討伐"""
TrialBeginMsg#0,"""討伐$(0)！"""
TrialAbstract#0,"""討伐$(0)！"""
NpcComOnBegin#0,"""緊急通知。<br>確定出現強大的敵意反應<br>請火速加以擊潰。"""
NpcComOnSuccess#0,"""/face2 敵意反應消失了<br>感謝各位人員的努力。"""
NpcComOnFailure#0,"""/face4 交戰中的隊員的反應消失了。<br>立刻準備傳送到<br>營地小船。"""
HP_Under_50#0,"""$(0)的剩餘體力降低！"""
HP_Under_10#0,"""$(0)僅剩下少許體力！"""
NpcComLastEnemy#0,"""還剩一隻！"""
NpcComOnBegin#1,"""緊、緊急通知！<br>發現強大的敵人反應！<br>請盡快將它擊潰！"""
NpcComOnSuccess#1,"""/face2 聽說敵人反應消失了!<br>大家辛苦了！"""
NpcComOnFailure#1,"""/face6 啊啊啊......交戰中的ARKS<br>被打倒了......<br>傳送至營地小船......"""
HP_Under_50#1,"""$(0)的剩餘體力降低了喔！"""
HP_Under_10#1,"""$(0)的剩餘體力不多了喔！"""
NpcComLastEnemy#1,"""/face2 還剩一隻！　還剩一隻！"""
NpcComOnBegin#2,"""強力な敵性反応を確認！<br>すみやかに撃破してください！"""
NpcComOnSuccess#2,"""目標の反応消失を確認。<br>お疲れさまでした！"""
HP_Under_50#2,"""残存体力、低下！<br>この調子です！"""
HP_Under_10#2,"""あと少しです。<br>一気に決めちゃってください！"""
