IncidentName#0,"""沃帕爾千鈞一髮！"""
TrialBeginMsg#0,"""救出沃帕爾的原生住民！"""
TrialAbstract#0,"""破壞捕食海葵！"""
NpcComOnBegin#0,"""/face1 發現被捕獲的原生住民。<br>這樣下去就危險了。<br>拜託緊急來救援。"""
NpcComOnSuccess#0,"""/face2 成功救出。<br>原生住民看起來也很感謝呢。"""
NpcComOnFailure#0,"""/face4 ......反應已消失。<br>任務失敗。"""
NpcComOn1st#0,"""/face1 原生住民要被吞噬了。<br>請快點來援救。"""
NpcComOn2nd#0,"""/face1 請盡快救出他們。<br>再這樣下去就要完全被吞噬了。"""
NpcComOn3rd#0,"""/face1 要完全被吞噬了。<br>如果不快點來幫忙<br>原生住民就危險了。"""
NpcComOnBegin#1,"""/face1 發現被捕獲的原生住民。<br>請快點前去救出他們。"""
NpcComOnSuccess#1,"""/face2 做得好，已經救出了。<br>你看，原生住民也很感謝呢。"""
NpcComOnFailure#1,"""/face1 反應，消失......了麼。<br>沒辦法了，回到一般任務。"""
NpcComOn1st#1,"""/face1 原生住民要被吞噬了。<br>請快點來援救和恢復他們。"""
NpcComOn2nd#1,"""/face3 嘖......<br>要被吞噬了啊。<br>不再快點的話就為時已晚了啊。"""
NpcComOn3rd#1,"""/face3 要完全被吞噬了。<br>這樣下去就糟了......要快點救出他們。"""
NpcComOnBegin#2,"""/face1 大事不好了！<br>原生住民被海葵抓住了。<br>快救他們！"""
NpcComOnSuccess#2,"""/face2 成功了呢。<br>順利救出原生住民了。<br>原生住民也很高興。"""
NpcComOnFailure#2,"""/face4 原生住民......被吃掉了呢......<br>作戰失敗了。"""
NpcComOn1st#2,"""/face1 啊啊，原生住民好像要被吃掉了。<br>不快點救出他們不行!"""
NpcComOn2nd#2,"""/face4 啊啊......原生住民幾乎被整個吃掉了！<br>不快點救出他們不行啊!"""
NpcComOn3rd#2,"""/face1 啊嗚，已經被吃掉了!?<br>如果再不趕快救出他們就真的真的很危險了!"""
