st_055060_0010#0,"""魔神城已經完全沒反應了。<br>循着召喚的痕跡之類的找找的話......"""
st_055060_0020#0,"""怎麼了！？"""
st_055060_0030#0,"""......盧瑟哥哥。<br>我們現在是在去哪？"""
st_055060_0040#0,"""到了就知道了。"""
st_055060_0050#0,"""那個......我還有宮廷作法<br>的課程要學習......"""
st_055060_0060#0,"""你真是認真吶。<br>這種東西稍微放個一天的假<br>也不會有什麼影響的。"""
st_055060_0070#0,"""這是我和母親的約定<br>每天要好好地學習。<br>如果不能遵守約定的話…就太對不起母親了。"""
st_055060_0080#0,"""我啊，也和母親做了約定哦。<br>我就是爲了履行那個約定所以才帶你來這裏的。<br>......看，已經到了。"""
st_055060_0090#0,"""哇......！<br>好漂亮，這裏全都是花……！"""
st_055060_0100#0,"""這是母親曾經喜歡的地方。<br>並且告訴我想要帶你也來這裏。<br>就算是我，對於她最後的願望也拒絕不了。"""
st_055060_0110#0,"""母親曾經喜歡的地方......<br>母親......來過這裏......"""
st_055060_0120#0,"""王族不需要眼淚。<br>被人民支持，領導着人民的王族<br>是不能被人民看見軟弱的地方的。"""
st_055060_0130#0,"""我......知道了！"""
st_055060_0140#0,"""......不過，這裏沒有人民。<br>所以在這裏，不用逞強。"""
st_055060_0150#0,"""現在這裏只有我和你。<br>還有，母親的靈魂也在這裏。"""
st_055060_0160#0,"""母親的......靈魂......"""
st_055060_0170#0,"""母親的靈魂和你在一起。<br>這是不是安慰你，也不是說謊的真正的事實。"""
st_055060_0180#0,"""母親......！　母親......！<br>我好像摸摸你，好想你摸摸我<br>......還想你再表揚我......！1"""
st_055060_0190#0,"""母親、母親、母親......！<br>嗚嗚......啊......啊啊啊啊嗄......！"""
st_055060_0200#0,"""......現在想怎麼哭就怎麼哭吧。<br>這淚水絕對不會白流的。"""
st_055060_0210#0,"""嗚嗚嗚......哥哥、哥哥！<br>啊啊......嗚......啊啊啊啊！"""
st_055060_0220#0,"""母親可沒告訴我會變成這樣啊<br>......真是沒轍。"""
st_055060_0230#0,"""哎呀哎呀，你不是<br>討厭我的麼？"""
st_055060_0240#0,"""......我，沒有討厭哥哥。"""
st_055060_0250#0,"""哥哥一直都避開大家。<br>不對，應該是說哥哥對大家都沒興趣<br>這樣說才對。"""
st_055060_0260#0,"""......爲什麼會這樣想？"""
st_055060_0270#0,"""因爲哥哥太聰明了。"""
st_055060_0280#0,"""哈哈......哈哈哈、哈哈哈哈哈！"""
st_055060_0290#0,"""哥、哥哥？　怎麼了？<br>我，說了什麼奇怪的話麼？"""
st_055060_0300#0,"""服了你了，哈莉艾特。<br>我竟然沒意識到<br>身邊就有這麼有趣的存在，真是有眼無珠。"""
st_055060_0310#0,"""你能成長到什麼地步呢<br>更期待了。"""
st_055060_0320#0,"""......沒事吧<br>振作一點兒！"""
st_055060_0330#0,"""剛才的是......"""
st_055060_0340#0,"""盧瑟的記憶......？"""
st_055060_0350#0,"""看到了盧瑟的記憶麼？<br>但是，爲什麼會發生這種事......"""
st_055060_0360#0,"""從魔神城誕生的黑暗種<br>連接着盧瑟的記憶......？"""
st_055060_0370#0,"""因爲實在阿卡西記錄內<br>所以才發生這種現象的麼。"""
st_055060_0380#0,"""......不管怎麼說，都有點兒感覺不太妙。<br>得快點兒找到哈莉艾特。"""
