CHOICE_INNOCENT#0,"""純真無瑕"""
CHOICE_FRESH#0,"""爽朗"""
CHOICE_FAINTHEART#0,"""懦弱"""
CHOICE_COOL#0,"""酷"""
CHOICE_NAUGHTY#0,"""頑皮"""
CHOICE_QUIET#0,"""穩重"""
CHOICE_NOISY#0,"""天真"""
CHOICE_SHARP#0,"""不靈巧"""
CHOICE_BOYISH#0,"""男性化"""
CHOICE_NONE#0,"""現在這樣也沒關係"""
CHANGE_START#0,"""有問題。<br>主人對我的個性<br>請問覺得如何呢？"""
CHANGE_PERSONAL#0,"""一直在想現在的我個性上是不是有欠缺了什麼呢。"""
CHANGE_ASK#0,"""因此要問會長，<br>希望我怎麼做呢？"""
CHANGE_OK#0,"""了解了。<br>如主人所願......"""
CHANGE_HOLD#0,"""了解了。<br>那麼，就保持這樣......"""
CHANGE_START#1,"""說到這裡，還放在心上哦......<br>你對於我的個性<br>這麼在意哦。"""
CHANGE_PERSONAL#1,"""會盡可能的如你所期望的爽朗<br>也就是這樣......"""
CHANGE_ASK#1,"""你滿意了麼?或是<br>你希望我是什麼樣的個性？"""
CHANGE_OK#1,"""嗯......<br>那是你的希望呀！"""
CHANGE_HOLD#1,"""好吧，今後行為會稍為地<br>爽朗些！"""
CHANGE_START#2,"""那個...不好意思......<br>有點事想請教<br>那個...就是關於我的性格......"""
CHANGE_PERSONAL#2,"""這樣軟弱的我，如果你希望的話我還是想待在你身邊。<br>不過就這樣子沒關係麼，有點不安......"""
CHANGE_ASK#2,"""我不改變也沒關係麼？<br>可以就這樣在這裡麼?"""
CHANGE_OK#2,"""是...是這樣麼......<br>這麼說，沒關係吧。<br>了解了。"""
CHANGE_HOLD#2,"""欸...這樣好麼？<br>......謝謝。"""
CHANGE_START#3,"""抱歉，耽誤一下？<br>關於我的性格，你是怎麼<br>看呢？我想聽看看。"""
CHANGE_PERSONAL#3,"""我能夠回應你的期望麼?<br>應該可以回應要一直很酷的期望。"""
CHANGE_ASK#3,"""我就是我，不會改變。<br>但是如果你期望的話就又另當別論了...<br>那你希望我怎麼樣好呢?"""
CHANGE_OK#3,"""原來如此，這樣呀！<br>那就是你所希望的樣子呀？"""
CHANGE_HOLD#3,"""......是喔。<br>那麼，就持續目前的舉止<br>囉。"""
CHANGE_START#4,"""喂，可以問一下麼？<br>就我的性格啊，你是怎麼<br>想的呢？告訴我嘛！"""
CHANGE_PERSONAL#4,"""頑皮也沒關係<br>希望你要好好培育，我也會這麼做的!"""
CHANGE_ASK#4,"""但是偶爾也會想，不論到何時都一直這樣好麼。<br>我到底應該要怎麼做呢?"""
CHANGE_OK#4,"""哦～原來如此啊！<br>了解！就這樣做吧！"""
CHANGE_HOLD#4,"""哦哦，OK, OK！<br>嗯，就是這種感覺，今後也<br>麻煩囉！"""
CHANGE_START#5,"""不好意思，可以打擾一下麼？<br>其實，是想請教一下<br>你的意見......"""
CHANGE_PERSONAL#5,"""我很穩重麼......<br>雖然不覺得活潑會比較好<br>但也會想這樣好麼......"""
CHANGE_ASK#5,"""你對我的作為有什麼不滿麼?<br>您希望我是怎麼樣的人呢？"""
CHANGE_OK#5,"""遵命！<br>那麼，以後工作就這麼做。"""
CHANGE_HOLD#5,"""維持原樣就好，是麼？<br>......是的，遵命。<br>就如你所言。"""
CHANGE_START#6,"""唉...我想問一下<br>說真的，我的性格<br>你怎麼看呢？告訴我吧！"""
CHANGE_PERSONAL#6,"""雖然也是可以說是天真啦，不過應該是藏不住話吧?<br>可愛麼?不喜歡麼?"""
CHANGE_ASK#6,"""你有什麼期望麼?<br>你希望我成為怎麼樣的人呢？"""
CHANGE_OK#6,"""哦～原來如此...了解了！<br>那麼，就那麼做看看吧！"""
CHANGE_HOLD#6,"""喔！維持原樣就好，是吧！<br>那麼，今後也這是這種感覺<br>拜託囉！"""
CHANGE_START#7,"""......哪...打擾一下好麼？<br>那個......你呀，覺得我的<br>性格，怎麼樣呢？"""
CHANGE_PERSONAL#7,"""我還真是沒用......<br>連我自己都覺得點有不坦率。"""
CHANGE_ASK#7,"""嗯......也就是說......<br>你希望我呀，是個什麼樣<br>為什麼這樣做啦！"""
CHANGE_OK#7,"""哦......原來如此，<br>那麼做，好麼？<br>明白，就那麼做看看。"""
CHANGE_HOLD#7,"""......咦，維持原樣，可以麼？<br>......呼！沒辦法了。<br>那麼，就照這樣的感覺去做。"""
CHANGE_START#8,"""啊，是這樣，打擾一下好麼？<br>有事想問你<br>那個......關於我的性格......"""
CHANGE_PERSONAL#8,"""我很孩子氣吧<br>不太像女孩子對吧。<br>現在這樣......沒問題麼?"""
CHANGE_ASK#8,"""你坦白地告訴我！<br>你希望我成為什麼樣子的人呢？"""
CHANGE_OK#8,"""原來如此，......<br>那種感覺，很好耶。<br>嗯，明白，謝謝！"""
CHANGE_HOLD#8,"""我就維持我原來的樣子，可以麼？<br>......喔喔，明白了。<br>那麼，就維持原貌繼續努力吧！"""
