un_043040_0001#0,"""A.D.2028/3/25"""
un_043040_0005#0,"""哎呀哎呀你好呀！<br>總感覺有好長時間沒見了呢。<br>我是莉莎，你還記得我不？"""
un_043040_0010#0,"""在這兒和你見面，還真是挺少見的。<br>你也是來射它們的嗎？"""
un_043040_0020#0,"""你覺得我在這裡很不可思議？<br>但是，來到這邊的可不只是莉莎我一個人<br>各位ARKS們也都會過來的哦。"""
un_043040_0030#0,"""當然啦，就算要過來，也只能<br>在下放了ARKS出擊許可的時候才行。"""
un_043040_0040#0,"""在這邊出沒的那群……是叫幻創種來著嗎？<br>拿槍子兒往它們那輕飄飄的身上打<br>還挺有意思的。"""
un_043040_0050#0,"""射上去的手感，很類似於黑暗種。<br>看來它們並不是生物，而是某種化成了形體的<br>不安定的存在。"""
un_043040_0060#0,"""不過，它們畢竟有在努力匯聚成型<br>所以那剛好介於兩者之間的感觸，特別讓人耳目一新……<br>哈啊……簡直讓我停不下來。"""
un_043040_0070#0,"""我真是羨慕你能自由地來到這邊。<br>莉莎我也好想當守護輝士啊。"""
un_043040_0080#0,"""不過，在這重重的限制之下，不斷地去射殺、射殺、射殺<br>反倒也能讓人情緒高漲起來<br>所以就算一直這樣也沒關係的。呵呵呵。"""
un_043040_0090#0,"""那就先聊到這兒，之後再見啦。"""
