un_010090_0010#0,"""你好啊，<br><%me>。<br>有沒有精神啊－－。"""
un_010090_0020#0,"""有精神的話，<br>麻煩把艾可帶走吧－－。"""
un_010090_0030#0,"""喂，傑諾！<br>你這說的什麼話啦！<br>人家也要一起去啦！"""
un_010090_0040#0,"""......剛剛在喊「人家不去！」<br>的不是妳喔。<br>才幾分鐘就玩反悔呢......"""
un_010090_0050#0,"""那是說人家沒有自己去的意願啦！<br>但是傑諾說一定要去的話<br>......不得已也要陪你啊。"""
un_010090_0060#0,"""就說了<br>不用勉強跟著我啊，<br>在這裡等個一下下就......"""
un_010090_0070#0,"""不要！　人家要一起去！<br>不跟著你，誰知道你會做出多少<br>亂七八糟的事情來啦！"""
un_010090_0080#0,"""......好啦好啦。"""
un_010090_0090#0,"""<%me><br>抱歉啦，看來事情演變成這樣。"""
un_010090_0100#0,"""也不曉得是愛面子還是什麼原因，<br>有夠傷腦筋......<br>真的很想把她塞給你呢。"""
un_010090_0110#0,"""好了啦，傑諾，走了啦！<br>沒事不要給人家<br>添麻煩啦！"""
un_010090_0120#0,"""......虧妳說得出口呢。"""
