TALK_OTHER_FAV4#0,"""與其他人的對話<br>純真無瑕<br>好感度4"""
TALK_OTHER_FAV3#0,"""與其他人的對話<br>純真無瑕<br>好感度3"""
TALK_OTHER_FAV2#0,"""與其他人的對話<br>純真無瑕<br>好感度2"""
TALK_OTHER_FAV1#0,"""與其他人的對話<br>純真無瑕<br>好感度1"""
TALK_OTHER_FAV0#0,"""與其他人的對話<br>純真無瑕<br>好感度0"""
TALK_OTHER_FAV4#1,"""與其他人的對話<br>爽朗帶有邪惡<br>好感度4"""
TALK_OTHER_FAV3#1,"""與其他人的對話<br>爽朗帶有邪惡<br>好感度3"""
TALK_OTHER_FAV2#1,"""與其他人的對話<br>爽朗帶有邪惡<br>好感度2"""
TALK_OTHER_FAV1#1,"""與其他人的對話<br>爽朗帶有邪惡<br>好感度1"""
TALK_OTHER_FAV0#1,"""與其他人的對話<br>爽朗帶有邪惡<br>好感度0"""
TALK_OTHER_FAV4#2,"""與其他人的對話<br>軟弱的娘娘腔<br>好感度4"""
TALK_OTHER_FAV3#2,"""與其他人的對話<br>軟弱的娘娘腔<br>好感度3"""
TALK_OTHER_FAV2#2,"""與其他人的對話<br>軟弱的娘娘腔<br>好感度2"""
TALK_OTHER_FAV1#2,"""與其他人的對話<br>軟弱的娘娘腔<br>好感度1"""
TALK_OTHER_FAV0#2,"""與其他人的對話<br>軟弱的娘娘腔<br>好感度0"""
TALK_OTHER_FAV4#3,"""與其他人的對話<br>自以為酷、裝模作樣<br>好感度4"""
TALK_OTHER_FAV3#3,"""與其他人的對話<br>自以為酷、裝模作樣<br>好感度3"""
TALK_OTHER_FAV2#3,"""與其他人的對話<br>自以為酷、裝模作樣<br>好感度2"""
TALK_OTHER_FAV1#3,"""與其他人的對話<br>自以為酷、裝模作樣<br>好感度1"""
TALK_OTHER_FAV0#3,"""與其他人的對話<br>自以為酷、裝模作樣<br>好感度0"""
TALK_OTHER_FAV4#4,"""與其他人的對話<br>頑皮、精神抖擻<br>好感度4"""
TALK_OTHER_FAV3#4,"""與其他人的對話<br>頑皮、精神抖擻<br>好感度3"""
TALK_OTHER_FAV2#4,"""與其他人的對話<br>頑皮、精神抖擻<br>好感度2"""
TALK_OTHER_FAV1#4,"""與其他人的對話<br>頑皮、精神抖擻<br>好感度1"""
TALK_OTHER_FAV0#4,"""與其他人的對話<br>頑皮、精神抖擻<br>好感度0"""
TALK_OTHER_FAV4#5,"""與其他人的對話<br>沉穩<br>好感度4"""
TALK_OTHER_FAV3#5,"""與其他人的對話<br>沉穩<br>好感度3"""
TALK_OTHER_FAV2#5,"""與其他人的對話<br>沉穩<br>好感度2"""
TALK_OTHER_FAV1#5,"""與其他人的對話<br>沉穩<br>好感度1"""
TALK_OTHER_FAV0#5,"""與其他人的對話<br>沉穩<br>好感度0"""
TALK_OTHER_FAV4#6,"""與其他人的對話<br>呆瓜<br>好感度4"""
TALK_OTHER_FAV3#6,"""與其他人的對話<br>呆瓜<br>好感度3"""
TALK_OTHER_FAV2#6,"""與其他人的對話<br>呆瓜<br>好感度2"""
TALK_OTHER_FAV1#6,"""與其他人的對話<br>呆瓜<br>好感度1"""
TALK_OTHER_FAV0#6,"""與其他人的對話<br>呆瓜<br>好感度0"""
TALK_OTHER_FAV4#7,"""與其他人的對話<br>辛辣、毒舌<br>好感度4"""
TALK_OTHER_FAV3#7,"""與其他人的對話<br>辛辣、毒舌<br>好感度3"""
TALK_OTHER_FAV2#7,"""與其他人的對話<br>辛辣、毒舌<br>好感度2"""
TALK_OTHER_FAV1#7,"""與其他人的對話<br>辛辣、毒舌<br>好感度1"""
TALK_OTHER_FAV0#7,"""與其他人的對話<br>辛辣、毒舌<br>好感度0"""
TALK_OTHER_FAV4#8,"""歡迎來到我主人的個人小屋。<br>請自便。"""
TALK_OTHER_FAV3#8,"""與其他人的對話<br>男性化<br>好感度3"""
TALK_OTHER_FAV2#8,"""與其他人的對話<br>男性化<br>好感度2"""
TALK_OTHER_FAV1#8,"""與其他人的對話<br>男性化<br>好感度1"""
TALK_OTHER_FAV0#8,"""與其他人的對話<br>男性化<br>好感度0"""
