st_052100_0010#0,"""説的不錯，我就是盧瑟<br>突然直呼人名字的你們是誰啊？"""
st_052100_0020#0,"""應該沒有那麼多啊。<br>和我一樣長相和名字的人。"""
st_052100_0030#0,"""例如……對了<br>魯茲的手下之類的。"""
st_052100_0040#0,"""哥哥，不是的。<br>這個人是我們被追的時候<br>救過我們的恩人。"""
st_052100_0050#0,"""想法太簡單了啊，哈莉艾特。<br>這難道不會是某種作戰麼啊？<br>査明潛伏的地方然後一網打盡。"""
st_052100_0060#0,"""哥哥！"""
st_052100_0070#0,"""知道了知道了，不要生氣了。<br>王位継承権保持者不是到處宣傳的東西。"""
st_052100_0080#0,"""這樣説的話，哥哥才是那樣的。"""
st_052100_0090#0,"""我的繼承權已經被剝奪了不是麼？<br>所以思考、行動或者是研究内容<br>都沒有任何束縛。"""
st_052100_0100#0,"""……對啊，這不就是阿露瑪説的那個麼！"""
st_052100_0110#0,"""宇宙的記憶是混亂的。<br>因為是阿卡西記錄做的夢<br>發生任何事情都是有可能的。"""
st_052100_0120#0,"""但是，哈莉艾特的哥哥<br>偏偏是盧瑟……<br>亂來也有個限度啊。"""
st_052100_0130#0,"""啊！　什，什麼！"""
st_052100_0140#0,"""嗯……傳説中的妖精的姿態<br>就是那樣的吧。"""
st_052100_0150#0,"""然後，那邊的你……<br>原來如此，這也是傳説中的<br>來自異世界的来訪者吧。"""
st_052100_0160#0,"""那不是顯而易見麼！？"""
st_052100_0170#0,"""我是魔法研究的第一人。<br>你們的魔力流動我一看就一目了然了。<br>很明顯和這個世界的人不同。"""
st_052100_0180#0,"""而且這裡是進行召喚的世界。<br>我們是使用這個很擅長的人。"""
st_052100_0190#0,"""這樣的我是不相信異世界的存在的。<br>你們要怎麼做呢？"""
st_052100_0200#0,"""話雖如此<br>你以這個身姿理解人類的話語<br>進而傳播。"""
st_052100_0210#0,"""儘管是代代相傳的傳說，但其實我對其興趣很濃哦。<br>方便的話，能讓我研究一下麼？"""
st_052100_0220#0,"""居、居住的世界不一樣<br>但是這不是做的一樣的事麼！"""
st_052100_0230#0,"""<%me>！　<%me>！<br>救命啊！"""
st_052100_0240#0,"""１．這樣的話，談話進行不下去。（這話沒法説了）"""
st_052100_0250#0,"""２．希望不要捉弄她了"""
st_052100_0260#0,"""嗯、好吧。<br>那麼進入正題吧。"""
st_052100_0270#0,"""其實我真實的想法是……<br>哦呀、妹妹的視線，好痛好痛。<br>那麼進入正題吧。"""
st_052100_0280#0,"""關於戰爭的原因和這個國家的現状<br>不聽一聽麼。"""
