st_012110_0010#0,"""好像呢喃著什麼"""
st_012110_0020#0,"""正在呼喚著妳"""
st_012110_0030#0,"""咦......？"""
st_012110_0040#0,"""......什麼？<br>你想跟我說什麼呢，哈德烈？"""
st_012110_0050#0,"""......再唱一次，那首歌。"""
st_012110_0060#0,"""好不容易記住的話語......就是這句？"""
st_012110_0070#0,"""......傻瓜。你真的好傻，好傻。"""
st_012110_0080#0,"""真的......真的是......！"""
st_012110_0090#0,"""好啊，沒問題！<br>不要說一首，要多少首都唱給你聽！"""
st_012110_0100#0,"""觀眾只有<%me><br>和哈德烈你們倆而已！<br>但是、但是，所以才需要......！"""
st_012110_0110#0,"""聽著，哈德烈！<br>豎起你的耳朵好好聽吧！<br>可不准給人家睡著！"""
st_012110_0120#0,"""這首歌，只有這首歌<br>是為了你而唱......！"""
st_012110_0130#0,"""A.P.238/4/23/14:30:00"""
skit01#0,"""Our Final Farewell"""
skit02#0,"""第10章 虛空迴盪的安可曲"""
