un_043130_0010#0,"""啊，<%me>。<br>你來得正好<br>我正想去叫你呢。"""
un_043130_0020#0,"""我們是第二次這樣見面了<br><%me>。<br>我是所屬於情報部的愛花。"""
un_043130_0030#0,"""依情報部司令卡斯拉的命令<br>我暫時會逗留在這艘戰艦上一段時間。"""
un_043130_0040#0,"""按照司令那邊發給我的聯絡<br>據說是為了讓她詳盡且無誤地<br>提供給我們情報部那邊的情報……"""
un_043130_0050#0,"""而這背後的意圖，其實是為了監視。"""
un_043130_0060#0,"""竟然自己就講出來了！"""
un_043130_0070#0,"""司令他仍然對來自地球的各位抱有懷疑。<br>畢竟，他們入侵了我們這裡，也是事實。"""
un_043130_0080#0,"""所以我們作為情報部，也理所當然會懷疑<br>目前正在協助我們的這幾位<br>也同樣有可能是間諜。"""
un_043130_0090#0,"""明明自己就把情報藏得嚴嚴實實的<br>卻還在挑別人的刺……<br>真像是情報部會幹出來的事。"""
un_043130_0100#0,"""恩，我也是這麼覺得的。<br>所以我現在才來到了這裡。"""
un_043130_0110#0,"""<%me>、雪拉。<br>你們兩位最受地球上各位的信賴。<br>我想在讓你們知道我們的目的之後，再開展監視行動。"""
un_043130_0120#0,"""不過其實，倒也算不上“監視”這麼嚴苛。<br>我只是想邀請你們協助完成<br>情報部發來的請求。僅此而已。"""
un_043130_0130#0,"""我想……應該是不會刁難大家的。<br>……雖說我也沒法給出什麼保證。"""
un_043130_0140#0,"""……難不成，是愛花小姐你說了什麼？"""
un_043130_0150#0,"""……我是有進言過。<br>若要與異文化開展交流<br>理當建立在信賴與理解之上。"""
un_043130_0160#0,"""也正因如此，我才會過來。<br>我已經與地球上的人們有過密切的交流。<br>所以我才會作為情報部的代表，被派到這裡。"""
un_043130_0170#0,"""雖然可能會添上些麻煩<br>但這段時間裡，就請多包涵了。"""
