st_055100_0010#0,"""哥哥。"""
st_055100_0020#0,"""來了啊，哈莉艾特。<br>沒被人發現吧？<br>這裏被父親發現了的話就很麻煩了。"""
st_055100_0030#0,"""父親，可生氣了。<br>說你公務也不做，不知道在做些什麼。<br>還得我來安慰父親。"""
st_055100_0040#0,"""說我公務的事情<br>這麼說的話<br>還沒被發現吧。"""
st_055100_0050#0,"""嘛，那些小事就無所謂了。<br>叫你過來還有其他的理由。"""
st_055100_0060#0,"""我終於，確定了。<br>比召喚術更厲害的，究極的祕術。<br>回溯召喚。"""
st_055100_0070#0,"""回溯召喚......<br>真的打算做麼？"""
st_055100_0080#0,"""當然，就是爲了這個才反反覆覆進行研究。<br>如果不加以實踐的話，就根本沒意義。"""
st_055100_0090#0,"""這個世界的起源......知曉那個。<br>在這裏召喚出，原初的存在。"""
st_055100_0100#0,"""只有那個，才是學問的極致。<br>不覺得很有魅力麼？"""
st_055100_0110#0,"""哈莉艾特！　哈莉艾特！<br>別死......不要死！"""
st_055100_0120#0,"""竟然是出現那種東西......<br>......是我錯了！<br>該死的是我......不是你！"""
st_055100_0130#0,"""醒過來，哈莉艾特！<br>不要......只有你......<br>不能失去！"""
st_055100_0140#0,"""這次看見了什麼......？"""
st_055100_0150#0,"""盧瑟在後悔"""
st_055100_0160#0,"""哈莉艾特......"""
st_055100_0170#0,"""在後悔的盧瑟身邊<br>哈莉艾特......死掉了？"""
st_055100_0180#0,"""不對不對，哈莉艾特現在活得好好的。<br>我們現在不是正在去救人麼......！"""
st_055100_0190#0,"""不過......如果<br>如你所見，哈莉艾特其實<br>已經死過一次了的話......"""
st_055100_0200#0,"""我們所認識的哈莉艾特<br>......究竟又是誰？"""
name01#0,"""？？？"""
name02#0,"""？？？"""
