Begin#0,"""/ci2 1 帕緹開始"""
Success#0,"""/mn1 /ci2 2 帕緹成功"""
Failure#0,"""/mn1 /ci2 2 帕緹失敗"""
Dead#0,"""/mn1 /ci2 2 帕緹死亡"""
BuddyDead#0,"""/mn1 /ci2 2 帕緹對象死亡"""
Evolution#0,"""/mn1 /ci2 2 帕緹發展"""
Begin#1,"""/ci2 1 蛋糕！ 蛋糕！ 好吃的蛋糕！<br>娜烏拉蛋糕店快出來！<br>不出來的話換我們這邊過去囉！"""
Success#1,"""/ci2 2 呵呵呵，這種程度才沒辦法封住<br>我的蛋糕之路呢！<br>來吧提雅，再開始搜索吧！"""
Failure#1,"""/ci3 1 嗯，這真的受不了！<br>帕緹和提雅就這樣先撤退囉！"""
Dead#1,"""/ci4 1 啊啊……看到蛋糕的家了……<br>這是……夢？"""
BuddyDead#1,"""/mn22 /ci4 1 提雅被擊敗了，但是提雅是<br>我們之中最弱的！ 胸口！<br>……倒下的提雅發出的視線殺傷力好強！"""
Evolution#1,"""/mn17 /ci2 2 還會，再來！<br>蛋糕之路很長又危險呢！"""
Begin#2,"""/ci2 4 呼ばれて飛び出てじゃじゃーん！<br>アークスいちの情報屋<br>ただいま登場っ！"""
Success#2,"""/ci2 2 さてさて！<br>例の件、覚えてるよね！<br>忘れてないよね！"""
Failure#2,"""このままじゃティアも<br>行方不明になりそうなので<br>ここら辺でお引上げ！"""
Dead#2,"""ちょ、ちょっと休憩したいかも……"""
BuddyDead#2,"""ふふふ、ティアがやられたか……<br>しかーし、今日のあたしたちは<br>いつもとはひと味違うよーっ！"""
