st_064100_0010#0,"""……瓦爾納。<br>果然是你啊。"""
st_064100_0020#0,"""……哈莉艾特大人。<br>恭候多時了。"""
st_064100_0030#0,"""誒、誒？　誒誒？<br>你是、哈莉艾特的副官吧？<br>你爲什麼在那種地方？"""
st_064100_0040#0,"""不是的、瑪爾伽蕾塔。<br>現在的瓦爾納……是我們的敵人。"""
st_064100_0050#0,"""哈！？敵人！？<br>那傢伙、不是對哈莉艾特<br>發誓效忠嗎！？"""
st_064100_0060#0,"""這是、大義<br>所必需的。僅此而已。"""
st_064100_0070#0,"""爲了大義……么……<br>你不是、為了救哈莉艾特<br>才那麼拼命的嗎！"""
st_064100_0080#0,"""這都是騙人的<br>是演技嗎！？"""
st_064100_0090#0,"""……瑪爾伽蕾塔大人。<br>問答已經結束了。"""
st_064100_0100#0,"""我的主人、終之女神・示巴。<br>只有一個人。<br>我會排除阻礙主人道路的東西。"""
st_064100_0110#0,"""這就是、義之男神・瓦爾納的使命。"""
st_064100_0120#0,"""既然如此。既然如此啊。<br>就不要用自言自語的方式<br>在那邊喋喋不休啊。"""
st_064100_0130#0,"""……！"""
st_064100_0140#0,"""一模一樣啊、你。<br>當初如此用心<br>作爲我們前任國王的助手。"""
st_064100_0150#0,"""雖然和你沒有太大關係<br>但我記得他並沒有那種表情。<br>長得更有人情味。"""
st_064100_0160#0,"""瓦爾納……"""
st_064100_0170#0,"""我是主人……究極存在、示巴的支撐。<br>我和影子般存在的米朵拉一起<br>遵守她的任何命令。"""
st_064100_0180#0,"""但是如果不能完成這個使命<br>我們就會被世界排斥……"""
st_064100_0190#0,"""那個存在、即使被封印在虛空裏<br>……我們也在一起。"""
st_064100_0200#0,"""現在正是時候<br>主之所願、爲其献身！<br>這即是道義、即是忠節！"""
st_064100_0210#0,"""那麼、我來阻止你吧。<br>作爲曾經一起奮戰的人。"""
