IncidentName#0,"""收集昆蟲化石！"""
TrialBeginMsg#0,"""收集昆蟲化石！"""
TrialAbstract#0,"""收集散落於各處的昆蟲化石！"""
ToastPickup#0,"""撿到第$(0)個$(1)了。"""
ToastCollect#0,"""$(0)已回收了$(1)個。"""
ToastRewards#0,"""$(0)已回收了$(1)個。獲得$(2)EXP $(3)美賽達"""
NpcComOnBegin#0,"""在這附近有研究目標昆蟲的化石<br>發現了。所有人員請依照指示<br>將該化石運送到回收艙！"""
NpcComOnBeginAtRareCase#0,"""發現研究目標昆蟲的化石！<br>時間有限。所有人員加快動作<br>將該化石搬運至回收艙！"""
NpcComOnSuccess#0,"""/face2 已確認目標物數量充足。<br>這樣就夠了。<br>真是太感謝你了。"""
NpcComOnFailure#0,"""/face4 沒能收集到足夠的目標物。<br>這也是沒辦法的。<br>請回到平時任務。"""
GoodsPosition#0,"""目標物似乎在$(0)！"""
RepopGoods#0,"""發現了新的回收目標物！<br>請所有人員前往回收。"""
OnAccessPodByEmptyHand#0,"""回收了目標物後<br>請調查回收艙。"""
Collect1st#0,"""已確認收納了目標物！<br>請所有人員繼續回收！"""
CollectHalf#0,"""已確認收納了目標物！<br>這樣就達到了所需數量的一半！"""
CollectMostly#0,"""/face2 已確認收納了目標物！<br>就快收集完畢了，加油！"""
Pickup1st#0,"""您已經回收了目標物。<br>那麼，請繼續運往回收艙<br>拜託了！"""
PickupHalf#0,"""回收了這一個，數量就差不多一半了！<br>麻煩您將它運往回收艙！"""
PickupEnough#0,"""您已經回收了<br>足夠數量的目標物！<br>請將它運往回收艙！"""
Destroy1st#0,"""目標物遭到破壞了......<br>請多加小心。"""
DestroyWarning#0,"""似乎有許多目標物破損。<br>這樣下去會回收不到<br>足夠的數量......！"""
DestroyEmergency#0,"""目標物的破壞數量達到極限......<br>不能夠再損失更多化石了。<br>請加快腳步！"""
TimeupWarning#0,"""作戰可用時間<br>越來越緊湊了！"""
TimeupEmergency#0,"""作戰可用時間所剩不多！<br>請加快腳步！"""
