name01#0,"""歐薩"""
name02#0,"""瑪露"""
name03#0,"""莉莎"""
name04#0,"""亞方"""
name05#0,"""琶提"""
name06#0,"""提雅"""
name07#0,"""莎拉"""
skit01#0,"""那、那個......敵人<br>正在聚集麼？<br>說不定是目標地點。"""
skit02#0,"""......那個、敵人<br>正在聚集的樣子。<br>......說不定是目標地點。"""
skit03#0,"""喔呀喔呀喔呀？<br>敵人聚集在一個地方<br>在麼？　儘量瞄準！"""
skit04#0,"""嗯，什麼啊？<br>敵人已經聚集了麼？<br>這是賺分數的地方麼？。"""
skit05#0,"""喔，好厲害好厲害！<br>敵人正在聚集！"""
skit06#0,"""是得分的重點麼？"""
skit07#0,"""敵人正在聚集的樣子。<br>打倒那個就可以得到<br>高分......"""
skit01#1,"""/ci2 2 嗯！那個......敵人<br>正在聚集麼？<br>說不定是目標地點。"""
skit02#1,"""/ci2 2 ......那個......敵人<br>正在聚集的樣子。<br>......說不定是目標地點。"""
skit03#1,"""/ci2 2 喔呀喔呀喔呀？<br>敵人聚集在一個地方<br>在麼？　儘量瞄準！"""
skit04#1,"""/ci2 2 嗯，哎呀呀？<br>敵人已經聚集了麼？<br>這是賺分數的地方麼？。"""
skit05#1,"""/ci2 2 喔，好厲害好厲害！<br>敵人正在聚集！"""
skit06#1,"""/ci2 2 是得分的重點麼？"""
skit07#1,"""/ci2 2 敵人正在聚集的樣子。<br>打倒那個就可以得到<br>高分......"""
