un_012520_0005#0,"""【大家好好的開心喔！】<br>暫用文字"""
un_012520_0010#0,"""......接著是今天的主要新聞。"""
un_012520_0020#0,"""擔任ARKS代言明星的<br>歌手庫娜小姐。"""
un_012520_0030#0,"""在各ARKS戰艦之間的<br>巡迴演唱盛況空前，<br>即將迎接最高潮。"""
un_012520_0040#0,"""明快、激烈，而且生動！<br>大家好好的開心喔！"""
un_012520_0050#0,"""對了對了，先和大家講一下！"""
un_012520_0060#0,"""對不起啦！<br>今天沒有安可曲哦！"""
un_012520_0070#0,"""不過，人家會努力全心演唱，<br>讓大家同樣獲得滿足！"""
un_012520_0080#0,"""如果沒跟上人家的話<br>人家可不管咯！"""
un_012520_0090#0,"""唉......結果我一次<br>都沒能買到票......"""
un_012520_0100#0,"""每艘戰艦上只有一場，<br>只好等下次的機會了！"""
un_012520_0110#0,"""不過，庫娜她說<br>不唱安可曲，<br>這蠻少見的耶......"""
