st_065080_0710#0,"""呐……怎麼了……？"""
st_065080_0720#0,"""……哎、哎呀呀。"""
st_065080_0730#0,"""如果要來救的話<br>希望能再早一點來。"""
st_065080_0735#0,"""……庫娜桑。"""
st_065080_0740#0,"""……我並不是幫助了你。<br>這是作戰行動的一環。"""
st_065080_0750#0,"""真是的、使喚人太粗魯了。"""
st_065080_0760#0,"""另外、雖然說成是隱藏球<br>真是亂七八糟。"""
st_065080_0770#0,"""吵死了。"""
st_065080_0780#0,"""你們倆、不要在這種地方<br>還要吵架啊……"""
st_065080_0790#0,"""傑諾、我現在就給你治療！"""
st_065080_0800#0,"""亞芬和尤克莉塔……連艾可都……<br>你們不是在待機組嗎？"""
st_065080_0810#0,"""……原來如此。<br>為了不被敵人發現而進行的作戰。<br>是這麼回事啊、夏歐。"""
st_065080_0820#0,"""真是的、那個壞孩子！<br>如果變成這樣的話<br>就會想讓人看到好的地方吧！"""
st_065080_0830#0,"""……雖然不是這樣、但我同意。<br>讓我們看看六芒之力吧。<br>庫娜桑、能行吧？"""
st_065080_0840#0,"""請不要小看我。<br>我也是六芒之一。"""
st_065080_0850#0,"""……顯示吧透刃、瑪伊。"""
st_065080_0860#0,"""迴響吧戒劍、無名！"""
st_065080_0870#0,"""歌唱吧燐具、弗羅貝赫！"""
st_065080_0880#0,"""……那麼、接下來怎麼辦？<br>我們也要向深處進攻？"""
st_065080_0890#0,"""不、我相信在這裡繼續戰鬥。<br>那樣做的話他們也會變得輕鬆吧<br>……他們一定會有辦法的。"""
st_065080_0900#0,"""……真是值得信賴啊。"""
st_065080_0910#0,"""那是當然。<br>管怎麼說、他是<br>我引以爲傲的夥伴。"""
st_065080_0920#0,"""這裡就交給我們吧<br>加油吧……夥伴！"""
