un_020350_0010#0,"""......傑諾！？<br>......不是他，啊。<br>是<%me>啊。"""
un_020350_0020#0,"""抱歉，把你錯認成他。<br>嗯，是啊，是追尋著<br>傑諾的蹤跡來到這裡的。"""
un_020350_0030#0,"""傑諾那傢伙，<br>一點都不像會回來的樣子，<br>所以想說換人家去接他。"""
un_020350_0040#0,"""不過，人家要去接的人<br>卻不見蹤影，<br>我也沒辦法啦......"""
un_020350_0050#0,"""......你說，<br><%me>。"""
un_020350_0060#0,"""傑諾他......傑諾他真的會回來吧？<br>絕對會回來的吧？"""
un_020350_0070#0,"""1.絕對會回來"""
un_020350_0080#0,"""......哈哈，看你那自信。<br>是在為人家打氣麼？"""
un_020350_0090#0,"""胡言亂語。<br>居然被一個後進關心，<br>人家真沒資格當前輩呢。"""
un_020350_0100#0,"""2.繼續沉默"""
un_020350_0110#0,"""......呵呵，這種時候呢<br>你應該撒個小謊幫人家打氣才對啊。"""
un_020350_0120#0,"""不過呢，這種表面上的打氣<br>想要騙過你姐姐，<br>那就錯很大囉。"""
un_020350_0130#0,"""怎麼說呢。<br>是自從轉成獵人之後呢，<br>還是傑諾失蹤之後呢。"""
un_020350_0140#0,"""人家開始有空觀察四周，<br>應該說是能夠看出<br>對方的想法了。"""
un_020350_0150#0,"""所以說，你一舉一動的用意<br>也能模糊的體會。<br>謝謝你這麼關懷我。"""
un_020350_0160#0,"""好啦，不能老是一副<br>陰氣沉沉的表情。"""
un_020350_0170#0,"""既然我要代替傑諾，<br>就要在各方面多加油囉。<br>......那麼，再見了。"""
