st_061130_0110#0,"""呀。<br>沒事吧、莎拉。"""
st_061130_0120#0,"""夏歐……！？"""
st_061130_0130#0,"""……這真是讓人吃驚啊。<br>但是省去了麻煩。"""
st_061130_0140#0,"""<%me>！"""
st_061130_0150#0,"""莎拉！　夏歐！<br>……！"""
st_061130_0160#0,"""……夏歐！！<br>你在幹什麼啊！！"""
st_061130_0170#0,"""哎呀、哈哈哈……<br>成長才是正確答案。<br>無論如何都要保護好你，比什麼都重要。"""
st_061130_0180#0,"""……笨蛋！<br>為什麼要保護我<br>啊……！"""
st_061130_0190#0,"""我知道這不是合理的判斷。<br>但是、一想到必須那樣做<br>就擅自行動了吧……"""
st_061130_0200#0,"""哎呀、我也太接近人類了……<br>……所以、像個人一樣<br>讓我稍微休息一下吧。"""
st_061130_0210#0,"""夏歐！　夏歐！"""
st_061130_0220#0,"""！<br>夏歐……！"""
