IncidentName#0,"""保護娜烏拉蛋糕店！"""
TrialBeginMsg#0,"""保護散落各處的寶箱！"""
TrialAbstract#0,"""保護散落各處的寶箱！"""
ToastOnSuccess#0,"""$(0)開張了。"""
ToastOnDestroy#0,"""1個商品遭到破壞了。剩下$(0)個。"""
ToastOnAllDestroy#0,"""所有寶箱都被破壞了。"""
OnBegin#0,"""/mn13 /ci5 5 t5 ......世上笨蛋一大堆，<br>叫天叫地沒人理。"""
OnDamage#0,"""/mn13 ......商品會壞掉的。<br>......好浪費喔，好浪費喔。"""
OnDestroy#0,"""/mn13 ......1個被弄壞了。<br>......商品當然也全毀了吧。"""
OnAllDestroy#0,"""/ci5 3 t5 /mn13 ......我不會再來這裡賣了。"""
OnSuccess#0,"""/ci1 1 t5 ......少囉嗦，快買蛋糕。"""
OnBegin#1,"""/mn2 /toge /ci3 1 t5 哈哇，哇哇哇！<br>誰來救救我啊！"""
OnDestroy#1,"""/toge /mn1 哈哇哇......被弄壞了。<br>商品會減少的......"""
OnAllDestroy#1,"""/mn2 /ci4 3 t5 全、全部......都被弄壞了啦！<br>這樣就不能開店了......"""
OnLastOne#0,"""/toge 哈哇！<br>仔細一看，商品只剩下1個了！<br>糟了糟了，糟糕了啦！"""
OnSuccess#1,"""/ci2 2 t5 呼......得救了。"""
OnFailure#0,"""/mn23 /ci4 t5 只好背負著哀傷回去了......<br>傷心，哭哭。"""
OnBegin#2,"""/mn2 /ci2 2 t5 嗚哇，大事不好啦！<br>誰來幫幫忙，保護我的商品啊！"""
OnDestroy#2,"""/mn13 唉呀，被弄壞了......<br>裡面放了什麼我忘了。"""
OnAllDestroy#2,"""/mn22 /ci3 1 t5 全、全被弄壞了！<br>沒有商品，是要我怎麼<br>開店啦！"""
OnSuccess#2,"""/mn15 /ci2 1 t5 呼，謝啦！<br>幫了我一個大忙！"""
