st_062020_0010#0,"""我以爲差不多該來了。"""
st_062020_0020#0,"""你想問什麼。多麼愚蠢的問題啊。<br>是關於示巴的情報吧？"""
st_062020_0030#0,"""很遺憾。<br>關於她的信息<br>我也沒有太多。"""
st_062020_0040#0,"""幾乎都像哈麗艾特<br>所說的那樣。"""
st_062020_0050#0,"""我製造了哈麗艾特。<br>那是作爲光子容器的最高傑作<br>……毫無疑問、是最高傑作。"""
st_062020_0060#0,"""容器擁有自我、自我意識。<br>這與智慧的創造是同義的。"""
st_062020_0070#0,"""錫安的初次……<br>大海中突然產生的知性。<br>終於實現了這一現象。"""
st_062020_0080#0,"""如果沒有只把它當作容器來看待的<br>上層的庸俗之物的話……<br>不久之後就應該是全知存在了。"""
st_062020_0090#0,"""有那麼多時間。還有科技。<br>作為樣本、打造全知存在。"""
st_062020_0100#0,"""然而、人們還是希望瞬間解決問題。"""
st_062020_0110#0,"""從容器中剝離原本的靈魂<br>將光子灌入其中、作爲誘餌。"""
st_062020_0120#0,"""作爲爲了消除光子而存在的<br>【深遠之暗】的誘餌。"""
st_062020_0130#0,"""処置成功了。<br>【深遠之暗】進入容器<br>萌發出知性、被容器所束縛。"""
st_062020_0140#0,"""接下來、只有捨棄那個容器……"""
st_062020_0150#0,"""對俗人來說失算的是<br>【深遠之暗】……用現在的話說、示巴<br>獲得了知性、理解了人吧。"""
st_062020_0160#0,"""依附於人的慾望的癌症……<br>留下了黑暗法爾斯、作爲這個世界的楔子。<br>爲了將來自己回歸的時候。"""
st_062020_0170#0,"""……它們的歸宿<br>就是我們。"""
st_062020_0180#0,"""怎麼樣、沒有任何實際意義<br>無聊的話吧。"""
st_062020_0190#0,"""儘管如此我還是要對你說<br>……作爲一個人、作爲盧瑟<br>我想向你表示感謝。"""
st_062020_0200#0,"""哈麗艾特的靈魂得到了救贖。<br>……能知道這一點<br>對我來說是一件好事。"""
st_062020_0210#0,"""……錫安當然<br>也認識她了吧。<br>怪不得她很同情我。"""
