Begin#0,"""/ci2 1 提雅開始"""
Success#0,"""/mn1 /ci2 2 提雅成功"""
Failure#0,"""/mn1 /ci2 2 提雅失敗"""
Dead#0,"""/mn1 /ci2 2 提雅死亡"""
BuddyDead#0,"""/mn1 /ci2 2 提雅對象死亡"""
Evolution#0,"""/mn1 /ci2 2 提雅發展"""
Begin#1,"""/ci1 1 嘛，出現的是敵人<br>真正被當成蛋糕的應該是我們吧……"""
Success#1,"""/ci1 2 啊，等等帕緹！<br>對不起，先失陪了。<br>謝謝你。"""
Failure#1,"""/ci4 1 沒有錯誤的夢。"""
Dead#1,"""/mn34 /ci4 1 果然，不應該跟著<br>帕緹的判斷行事的……"""
BuddyDead#1,"""/ci1 1 好好帕緹<br>重新來吧，重新。<br>不要睡了趕快回去吧，快快。"""
Evolution#1,"""/ci1 2 不，我覺得蛋糕應該<br>沒什麼關係吧……"""
Begin#2,"""/ci1 3 でも、今日だけは情報屋じゃなくて<br>アークスとして、お手伝いするね。"""
Success#2,"""/ci1 5 パティエンティア幻の三人目……<br>どうかよろしくお願いします。"""
Failure#2,"""パティちゃんがダメそうなので<br>一旦連れて帰ります。<br>ではでは……"""
Dead#2,"""慣れないことをしたからかな……？"""
BuddyDead#2,"""はいはい、すぐ起きてねパティちゃん。<br>今日の私達はひと味違うんでしょ？"""
