ra_039050_0001#0,"""A.P.239/5/6"""
ra_039050_0010#0,"""お、相棒、来てくれたんだな。<br>こっちは相変わらず、あいつに<br>振り回されっぱなしだよ。"""
ra_039050_0020#0,"""でもまあ<br>悪いことばっかりじゃないぜ。"""
ra_039050_0030#0,"""ユク姉、昔のことを気にして<br>みんなとの間に壁作って<br>交流しようとしないからさ。"""
ra_039050_0040#0,"""おれ以外の話し相手ができたことは<br>いいことだと思うんだ。"""
ra_039050_0050#0,"""……まあ、なんか話というより<br>口ゲンカみたいな感じだけどな。"""
ra_039050_0060#0,"""そういや、おれは最近<br>アークスシップに戻ってないんだけど<br>そっちのほうは大丈夫なのか？"""
ra_039050_0070#0,"""イオやフーリエさんから聞いたぜ。<br>船の管理体制を変更するとかなんとか。<br>相棒は手伝わなくていいのか？"""
ra_039050_0080#0,"""管理体制の変更って、アタシたちの時にも<br>同じようなことを言ってたわね。"""
ra_039050_0090#0,"""ダメダメ。やめといた方がいいわよ。<br>きっと大変なことになっちゃうから。<br>これ、大先輩からの忠告。"""
ra_039050_0100#0,"""そういえば、なんだかアナタからは<br>シオンちゃんの香りがするわね。"""
ra_039050_0110#0,"""シオンちゃん、どうしてる？<br>元気？"""
ra_039050_0113#0,"""１．シオンはもういない"""
ra_039050_0116#0,"""２．シャオならいる"""
ra_039050_0120#0,"""え、シオンちゃんいないの？<br>いなくなっちゃったの？"""
ra_039050_0130#0,"""コピーっぽい子がいる？<br>けど、シオンちゃんはいないんでしょ。<br>……そうなんだ。"""
ra_039050_0140#0,"""シャオ？\u3000だれそれ？<br>シオンちゃんのコピー的存在？<br>シオンちゃんはいなくなっちゃったの？"""
ra_039050_0150#0,"""そっか……シオンちゃん<br>いなくなっちゃったんだ。<br>……そっかー。"""
ra_039050_0160#0,"""シオンちゃんのコピー作っても<br>それはシオンちゃんじゃないからね。<br>シオンちゃんは、もういないのか……"""
ra_039050_0170#0,"""あー、なんかいろいろ思い出してきた。<br>アタシたちも、シオンちゃんのコピーを<br>生み出そうとしてきたのよね。"""
ra_039050_0180#0,"""そして、そのたびに失敗してきた。"""
ra_039050_0190#0,"""これは、フォトナー文明末期の話よ。"""
ra_039050_0200#0,"""フォトナーは、全宇宙に版図を広げ<br>肥大化した組織の管理を任せるために<br>シオンちゃんのコピーを作ろうとした。"""
ra_039050_0210#0,"""一番最初のなんか性能カンペキ。<br>でも、全然制御できない失敗作で<br>結局、亜空間に捨てちゃった。"""
ra_039050_0220#0,"""亜空間だか異次元だか知らないけど<br>ゴミを捨てるかのように……<br>やりたい放題すぎるわよ、あんたたち。"""
ra_039050_0230#0,"""そうね。<br>アタシもそう思うわ。"""
ra_039050_0240#0,"""だから罰が当たったのよ、きっと。"""
ra_039050_0250#0,"""何度も失敗を繰り返し<br>ようやく制御できそうな成功作が<br>できあがったと思ったら……"""
ra_039050_0260#0,"""当時のフォトナーの悪意やら<br>欲望やらの影響を思いっきり<br>受けちゃって……"""
ra_039050_0270#0,"""……【深遠なる闇】になった。"""
ra_039050_0280#0,"""そういうこと。<br>人の欲望や悪意は、とても醜い。<br>しょせん人なんて、そんなもんなのよ。"""
ra_039050_0290#0,"""……あんたはどうして<br>そこまで知ってるの？<br>全部あんたが指示したことなの？"""
ra_039050_0300#0,"""アタシが指示？<br>ははっ、そんなわけないじゃない。<br>アタシはそんなこと興味なかった。"""
ra_039050_0310#0,"""アタシの頭にあったのはただ一つ。<br>美しさを磨くことのみ。"""
ra_039050_0320#0,"""全宇宙のオトコを魅了した<br>フォトナーでいちばんの美女。<br>美の女神とまで言われたオンナ。"""
ra_039050_0330#0,"""軍人だって政治家だって<br>オトコなら、アタシの前では骨抜きよ。"""
ra_039050_0340#0,"""アタシみたいな一夜の相手には<br>愚痴や秘密をぽろぽろ漏らすの。"""
ra_039050_0350#0,"""ほんと、色々聞かせてもらったわ。<br>聞きたいことも、聞きたくないことも<br>全部まとめてたっくさん、ね。"""
ra_039050_0360#0,"""耳を塞ぎたくなるような<br>醜い権力闘争の話。<br>悪意のみで構成された言葉の羅列。"""
ra_039050_0370#0,"""他人を蹴落とすことしか考えていない<br>人の醜さったら……ほんと、ないわよ。"""
ra_039050_0380#0,"""もっとも、アタシもアタシの<br>ライバルになり得る女どもを<br>蹴落とそうと必死だったんだけどね。"""
