st_065110_0330#0,"""<%me>！"""
st_065110_0331#0,"""笨蛋……！"""
st_065110_0332#0,"""笨蛋…………！"""
st_065110_0340#0,"""我們兩個、不是說過了嗎！<br>我們兩個、不是說好了嗎！"""
st_065110_0350#0,"""留下一個人……<br>我不是說過、絕對不行嗎！"""
st_065110_0360#0,"""……不原諒。<br>絕對不原諒。"""
st_065110_0370#0,"""不這樣的話<br>即使過去的歷史不能被扭曲……"""
st_065110_0380#0,"""即使不這樣做<br>就是否認過去的歷史……"""
st_065110_0390#0,"""……我也絕對、不會讓你走的！"""
st_065110_0400#0,"""不要告訴我、這就結束了……！<br>這麼自私……絕對、絕對<br>絕對不原諒你！"""
st_065110_0410#0,"""……是啊、的確如此。"""
st_065110_0420#0,"""錫安……桑……？"""
st_065110_0430#0,"""那是、對歷史的否定……<br>對阿卡西記錄……<br>對我自己的存在的否定。"""
st_065110_0440#0,"""<%me>不存在的世界<br>不可能存在！"""
