11_voice_NPC_5028_100#0,"""ARKS好讚喔～<br>就好像是正義的使者。<br>我好羨慕啊......"""
11_voice_NPC_5028_105#0,"""嗯、嗯嗯嗯~......<br>要怎樣才能使用光子呢。<br>沒有什麼方法麼。"""
11_voice_NPC_5028_104#0,"""你是ARKS，和我不同。<br>真不可思議啊。<br>明明外觀上看起來都一樣。"""
11_voice_NPC_5028_108#0,"""所謂的光子，是會隨著感情<br>而變動的。<br>應該怎麼形容比較好呢......"""
Ulc_04_020#0,"""我對光子有一種<br>因戀愛而焦躁的感覺，<br>如果能多少反應在光子上就好了。"""
11_voice_NPC_5028_100#1,"""夢想是為了實現而存在的！<br>我是這麼深信著。<br>我不會放棄成為ARKS的夢想。"""
11_voice_NPC_5028_100#2,"""你見過我的朋友們了麼？<br>猶豫不決的那些人應該就是我朋友。<br>可以的話請跟他們好好相處。"""
11_voice_NPC_5028_105#1,"""嗯...有沒有什麼好方法呢。<br>......啊。請別管我說了什麼。<br>我只是在想如何激發出衝勁。"""
11_voice_NPC_5028_104#1,"""要我放棄是很簡單，<br>但如果我放棄了，或許那傢伙<br>也會一起放棄。"""
Ulc_08_020#0,"""真是的，他都已經成為ARKS了，<br>卻還老是麻煩別人。<br>好，只好加油了！別無他法！"""
11_voice_NPC_5028_101#0,"""很好很好！<br>這就表示你至少還有<br>空轉的活力。"""
11_voice_NPC_5028_101#1,"""嘿嘿！<br>這次要去別的ARKS戰艦<br>搬運物資！"""
Ulc_10_020#0,"""我是第一次上宇宙，<br>感覺好興奮喔！"""
11_voice_NPC_5028_100#3,"""街道區有一個超人氣偶像耶，<br>你聽說過麼？<br>她超受歡迎的喔。"""
Ulc_11_020#0,"""嗯......<br>成為那樣象徵性的存在後，<br>是否有助於提升士氣呢？"""
Ulc_11_030#0,"""不過我不是成為<br>大人物的料啦。不可能不可能。<br>還是去找比較有幫助的方法吧。"""
11_voice_NPC_5028_104#2,"""みんなショックなのはわかるけど<br>過去のことなんて、そんなうじうじ<br>気にしていてもしょーがないでしょ。"""
mb17_020#0,"""それよりも、今を生きるわたしたちは<br>未来のことを考えていかないとね。"""
mb17_030#0,"""ひとの目は、前についている。<br>前を向いて、前に向かって歩くために。<br>そういうものでしょ？"""
mb18_010#0,"""どうかな？<br>結構、色々と変えてみたんだけど。<br>明るい感じする？"""
mb18_020#0,"""いきなり全ては変えられないよ。<br>だからまずは、わかりやすく<br>見た目から変えていかないと。"""
mb18_030#0,"""新しい施設もできたし<br>よかったら行ってみてね。"""
