un_012510_0005#0,"""【明快激情的歌唱吧！】<br>暫用文字"""
un_012510_0010#0,"""......接著是今天的主要新聞。"""
un_012510_0020#0,"""日前剛剛被選為<br>ARKS代言明星的<br>歌手庫娜小姐。"""
un_012510_0030#0,"""目前趁話題方興未艾，<br>正在各ARKS戰艦之間<br>展開巡迴演唱。"""
un_012510_0040#0,"""大家好－－！<br>感謝大家今天<br>這麼熱情的捧場！"""
un_012510_0050#0,"""人家將會全心全意<br>好好的歌唱！"""
un_012510_0060#0,"""不只是安可曲，以後也會！<br>大家今天就忘記大大小小事，<br>跟著你的心跳，跟著人家來！"""
un_012510_0070#0,"""明快、激烈，而且生動！<br>大家一起開心吧！"""
un_012510_0080#0,"""哇......果然庫娜<br>就是可愛......！"""
un_012510_0090#0,"""可惡，我也好想在<br>那邊裡聽現場耶！<br>好想親眼目睹庫娜呢！"""
un_012510_0100#0,"""大家好－－！<br>感謝各位今天的參與！"""
un_012510_0110#0,"""人家將會全心全意好好的歌唱！"""
un_012510_0120#0,"""不只是安可曲，以後也會！<br>大家今天就忘記大大小小事，<br>跟著你的心跳，跟著人家來！"""
un_012510_0130#0,"""明快、激烈，而且生動！<br>大家一起開心吧！"""
un_012510_0140#0,"""哇......果然庫娜<br>就是可愛......！"""
un_012510_0150#0,"""可惡，我也好想在那邊裡聽現場耶！<br>好想親眼目睹庫娜呢！"""
