name01#0,"""？？？"""
name02#0,"""？？？"""
un_034030_0010#0,"""はーい、こんにちわ！<br>パティちゃんですよー！"""
un_034030_0020#0,"""どうも、ティアです。<br>この前はご迷惑をおかけしました。"""
un_034030_0030#0,"""……あたし、反省しました。<br>マンネリを恐れ、奇をてらうなんて<br>なんて弱い発想だったんだろう。"""
un_034030_0040#0,"""アークスのみんなが求めている<br>パティエンティアはそうじゃないよね！<br>こういうときこそ、初心にかえるべき！"""
un_034030_0050#0,"""……初心にかえるって、例えば？"""
un_034030_0060#0,"""まず、あたしたちアークスが<br>気をつけなきゃいけないのは<br>ダーカーよね！"""
un_034030_0070#0,"""そこからやり直すの！？"""
un_034030_0080#0,"""じゃあ……初心にかえるクイズ！"""
un_034030_0090#0,"""クイズ！？"""
un_034030_0100#0,"""あたしとティアはご存じの通り<br>双子の姉妹ですが、どっちが姉で<br>どっちが妹でしょう！？"""
un_034030_0110#0,"""１．パティが姉、ティアが妹"""
un_034030_0120#0,"""２．ティアが姉、パティが妹"""
un_034030_0130#0,"""大正解！<br>あたしが姉、ティアが妹だよ！<br>さっすが、よく覚えてるね！"""
un_034030_0140#0,"""今更そんなの聞かれても、って<br>感じだと思うよ、パティちゃん。"""
un_034030_0150#0,"""ブブーッ！\u3000不正解です！<br>あたしが姉、ティアが妹だよ！"""
un_034030_0160#0,"""……とてもそうは見えないって<br>言いたいんだと思うよ、パティちゃん。"""
un_034030_0170#0,"""うーん、やってみたはいいけど<br>なんかこれも違う気がする……"""
un_034030_0180#0,"""……初心にかえるどころか<br>完全に迷走してる感があるね。"""
un_034030_0190#0,"""……よし、次会うときまでに<br>ちゃんと初心にかえっておくから<br>待っててね！\u3000乞うご期待！"""
un_034030_0200#0,"""たぶん、次会うときまでには<br>きれいさっぱり忘れてると思うので<br>あんまり気にしないでください。"""
