un_025050_0010#0,"""啊……<br><%me>桑。"""
un_025050_0020#0,"""怎麼了，庫娜桑。<br>現在才感到害怕嗎？"""
un_025050_0030#0,"""……我沒有心情。<br>下次有機會再說吧。"""
un_025050_0040#0,"""作為她退縮的理由<br>真是被好好利用了呢。<br><%me>桑。"""
un_025050_0050#0,"""……如果再多說些廢話的話<br>馬上就會斷送你的生命？"""
un_025050_0060#0,"""哈哈，開玩笑的，開玩笑的。<br>在盧瑟消失的今天<br>我也沒有必要慌張地去死了。"""
un_025050_0070#0,"""……這是怎麼回事？"""
un_025050_0080#0,"""光子族是遠古時代的存在。<br>即使有高超的技術<br>也不可能保持當時的肉體。"""
un_025050_0090#0,"""那麼，路德的肉體<br>到底是從哪裏來的呢？"""
un_025050_0100#0,"""……答案就在這裏。<br>把ARKS的身體<br>作為容器來使用。"""
un_025050_0110#0,"""如果現在的身體壞了<br>就去準備好的下一個身體……<br>就像黑暗法爾斯一樣，對吧。"""
un_025050_0120#0,"""嗯，因爲真的是黑暗法爾斯<br>也不會成爲笑話。"""
un_025050_0125#0,"""你也和我們一樣<br> ……被製造出來的存在，是什麼？"""
un_025050_0130#0,"""嗯，是的。<br>三英雄卡斯拉塔伊普的克隆。<br>那個初期實驗體，就是我。"""
un_025050_0140#0,"""沒有像克拉莉絲克蕾絲那樣<br>被批量生產的原因是……<br>嗯，大概是因爲不好對付吧。"""
un_025050_0150#0,"""因爲盧瑟說初代卡斯拉<br>性格乖僻、難以操控<br>所以就直接奪取了。"""
un_025050_0160#0,"""不過，請不要誤會。<br>並沒有因爲是同樣的遭遇<br>就想引起同情之類的意思？"""
un_025050_0170#0,"""制訂造龍計劃的是我。<br>也就是說，庫娜的復仇對象<br>肯定是我。"""
un_025050_0180#0,"""沒能預想到盧瑟的介入<br>沒能阻止不道德的實驗<br>責任當然也在我身上。"""
un_025050_0190#0,"""……三英雄卡斯拉。<br>爲什麼沒有<br>隱瞞造龍的事？"""
un_025050_0200#0,"""如果是平時應該會嚴肅地在背後處理。<br>但偏偏在你主導的時候<br>包括研究室的行爲在內，一齊公開……"""
un_025050_0210#0,"""ま簡直就像要解開<br>研究室的暗部一樣……<br>……爲什麼要做這種事？"""
un_025050_0220#0,"""……那麼，爲什麼呢。"""
un_025050_0230#0,"""……我、最討厭<br>你那種地方。"""
un_025050_0240#0,"""哎呀呀。<br>又差點死了。"""
un_025050_0250#0,"""１．剛才的話是真的嗎？"""
un_025050_0260#0,"""２．是開玩笑過頭了嗎？"""
un_025050_0270#0,"""怎麼樣呢？<br>到底有多少是真的，有多少是假的<br>請自行想象。"""
un_025050_0280#0,"""是嗎？<br>即使這樣也算是很認真地<br>說出來了吧？"""
un_025050_0290#0,"""但是，說得有點多了。<br>……和你在一起的話、我的嘴<br>不知爲何變得很輕。真難辦。"""
un_025050_0300#0,"""在說些不三不四的話之前<br>我先告辭了。<br>那麼再見。"""
