name01#0,"""歐薩"""
name02#0,"""瑪露"""
name03#0,"""莉莎"""
name04#0,"""亞方"""
name05#0,"""琶提"""
name06#0,"""提雅"""
name07#0,"""莎拉"""
skit01#0,"""切，這次是關閉的機關麼！<br>在結界打開前擊倒就行了！"""
skit02#0,"""......被關起來了。<br>但是，結界打開前擊倒<br>應該就沒有問題了。"""
skit03#0,"""什麼？　被關起來了啊？<br>好耶，這個狀況......<br>好像可以愉快地進行呢。"""
skit04#0,"""唉呀呀，被關起來了麼？<br>在狹窄的地方作戰<br>雖然不是很喜歡。"""
skit05#0,"""好～～，把敵人關起來<br>就成功了！<br>就這樣一網打盡！"""
skit06#0,"""雖然我們也被關起來了......<br>好像不能一網打盡<br>一定要注意。"""
skit07#0,"""......關閉，是要我<br>徹底地執行的意思麼？<br>嗯，有希望的地方喔。"""
skit01#1,"""/ci2 2 切 這次是關閉的機關麼？<br>在結界打開前擊倒就行了！"""
skit02#1,"""/ci2 2 ......關閉了。<br>但是，結界打開前擊倒<br>應該就沒有問題了。"""
skit03#1,"""/ci2 2 咦？　被關起來了啊？<br>好耶，這個狀況......<br>好像可以愉快地進行呢。"""
skit04#1,"""/ci2 2 唉呀呀呀，被關起來了麼？<br>在狹窄的地方作戰<br>雖然不是很喜歡。"""
skit05#1,"""/ci2 2 好～，把敵人關起來<br>就成功了！<br>就這樣一網打盡！"""
skit06#1,"""/ci2 2 雖然我們也被關起來了，......<br>好像不能一網打盡<br>一定要注意。"""
skit07#1,"""/ci2 2 ......關閉，是要我<br>徹底地執行的意思麼？<br>嗯，有希望的地方喔。"""
