11_voice_NPC_5057_101#0,"""啊，你來得正好。<br>這個你拿去吧。"""
Npc57_favs_before_020#0,"""這是我送給你的禮物。<br>其實我不需要這個東西啦。"""
Npc57_favs_after_010#0,"""不用對我道謝喔。<br>這個東西真的對我沒用。"""
Npc57_favs_after_020#0,"""就把它當成是你平常很努力<br>的獎勵吧！"""
Npc57_favs_present_010#0,"""得到了芭芭拉給予的『合成器』。"""
Npc57_favs_present_020#0,"""得到芭芭拉給予的『冰刃』。"""
Npc57_favs_present_030#0,"""得到芭芭拉給予的『恢復結界』。"""
Npc57_favs_present_040#0,"""得到了芭芭拉給予的『合成器』。"""
Npc57_favs_present_050#0,"""得到芭芭拉給予的『冰風暴』。"""
Npc57_favs_present_060#0,"""得到芭芭拉給予的『淨化結界』。"""
Npc57_favs_present_070#0,"""得到了芭芭拉給予的『合成器』。"""
Npc57_favs_present_080#0,"""得到芭芭拉給予的『防禦結界』。"""
Npc57_favs_present_090#0,"""得到芭芭拉給予的『冰晶落』。"""
Npc57_favs_present_100#0,"""得到了芭芭拉給予的『合成器』。"""
Npc57_favs_present_add_001#0,"""バルバラから『<%skit_text>』を受け取りました。"""
11_voice_NPC_5057_100#0,"""鬥士、鷹眼、元素使的指導<br>就全部交給我吧。<br>我會好好教導你的。"""
11_voice_NPC_5057_100#1,"""鬥士、鷹眼、元素使的指導<br>就全部交給我吧。<br>我會好好教導你的。"""
11_voice_NPC_5057_100#2,"""鬥士、鷹眼、元素使的指導<br>就全部交給我吧。<br>我會好好教導你的。"""
11_voice_NPC_5057_100#3,"""鬥士、鷹眼、元素使的指導<br>就全部交給我吧。<br>我會好好教導你的。"""
11_voice_NPC_5057_100#4,"""鬥士、鷹眼、元素使的指導<br>就全部交給我吧。<br>我會好好教導你的。"""
11_voice_NPC_5057_104#0,"""新しい世代の者も含めて<br>アークスの数が増えてきたのは<br>いいことだと思うわ。"""
Npc57_06_020#0,"""但換個角度來思考，<br>因為黑暗種越來越多，<br>所以需要的ARKS也越來越多。"""
