name01#0,"""歐薩"""
name02#0,"""瑪露"""
name03#0,"""莉莎"""
name04#0,"""亞方"""
name05#0,"""琶提"""
name06#0,"""提雅"""
name07#0,"""莎拉"""
skit01#0,"""好，走了。<br>儘量擊敗更多敵人<br>目的是賺分數。"""
skit02#0,"""......打倒更多的敵人<br>是大會的目的。<br>......那麼，走吧。"""
skit03#0,"""總之，攻擊眼前看到的所有敵人<br>就可以了吧？<br>哎呀，這不是很簡單麼？。"""
skit04#0,"""反正<br>去打倒敵人吧。<br>好，走吧！伙伴。"""
skit05#0,"""好，開始、開始！<br>全力追趕吧！<br>速度就是力量！　比任何人都快！"""
skit06#0,"""......那個，琶提<br>這是非擊敗敵人不可<br>的大會，知道了麼？"""
skit07#0,"""一面擊敗敵人一面前進<br>就沒有問題。<br>好，出發吧。"""
skit01#1,"""/ci2 2 好，走吧！。<br>儘量擊敗更多敵人<br>目的是賺分數。"""
skit02#1,"""/ci2 2 ......打倒很多敵人<br>是大會的目的。<br>......那麼，走吧。"""
skit03#1,"""/ci2 2 總之，把看到的敵人全部打倒<br>就可以了吧？<br>哎呀，這不是很簡單麼？。"""
skit04#1,"""/ci2 2 不管是什麼，消滅敵人吧<br>去打倒敵人吧。<br>好，走吧！伙伴。"""
skit05#1,"""/ci2 2 好，開始，開始！<br>全力追趕吧！<br>速度就是力量！　比任何人都快！"""
skit06#1,"""/ci2 2 ......那個琶提<br>這是非擊敗敵人不可<br>的大會，知道了麼？"""
skit07#1,"""/ci2 2 一面擊敗敵人一面前進<br>就沒有問題。<br>好，出發吧。"""
