st_052030_0010#0,"""有點奇妙的氣氛呢。<br>……在做什麼。"""
st_052030_0020#0,"""那邊的，在做什麼！"""
st_052030_0030#0,"""沒見過的呢……<br>國王手下的人麼？"""
st_052030_0040#0,"""外表很可疑的傢伙！　什麼人！！"""
st_052030_0050#0,"""那個，我們應該不是敵人……！"""
st_052030_0060#0,"""這小東西說話了！？<br>到底是什麼！"""
st_052030_0070#0,"""啊！？　難道不是我這樣的存在看起來很普通的世界麼！<br>啊……怎樣都行啦！"""
st_052030_0080#0,"""什麼騷動？"""
st_052030_0090#0,"""哈，哈莉艾特大人！"""
st_052030_0100#0,"""並不是騷動。<br>這裡潛伏著奇怪的傢伙……<br>正打算抓住他們……"""
st_052030_0110#0,"""奇怪的傢伙……？"""
st_052030_0120#0,"""……你是！"""
st_052030_0130#0,"""不，不要上前！哈莉艾特大人！<br>危険，請靠後！"""
st_052030_0140#0,"""為什麼有危険呢。<br>這位是本宮的客人哦。"""
st_052030_0150#0,"""客人！　這些人！？<br>即使是這樣，這種情況下……"""
st_052030_0160#0,"""……瓦爾納，作為本宮的副官<br>本宮理解你的擔心。"""
st_052030_0170#0,"""但是沒關係，本宮來就好了。"""
st_052030_0180#0,"""……明白了。"""
st_052030_0190#0,"""有事的話就請叫我！<br>馬上就為您效勞！"""
st_052030_0200#0,"""謝謝了，瓦爾納。"""
st_052030_0210#0,"""來，這邊請。"""
st_052030_0220#0,"""這是我專用的帳篷。<br>誰也不會來打擾的。"""
st_052030_0230#0,"""<%me>。<br>我的事想起來了麼？<br>前幾天，救下了我的命。"""
st_052030_0240#0,"""請允許正式介紹自己。<br>我的名字是哈莉艾特。"""
st_052030_0250#0,"""<%me>。<br>有不尊之處請告知。"""
st_052030_0260#0,"""這裡的事情……這個國家的事情……<br>……不，這個世界的事情<br><%me>知道麼？"""
st_052030_0270#0,"""１．一點也不明白"""
st_052030_0280#0,"""２．假裝知道"""
st_052030_0290#0,"""<%me>，<br>直接說啊！<br>直接說不明白啦！"""
st_052030_0300#0,"""……果然是這樣呢。"""
st_052030_0310#0,"""外來的人……<br>不瞭解這裡……<br>卻有著壓倒性的力量……！"""
st_052030_0320#0,"""確確實實，正如傳說一樣！<br>我們翹首盼望了多久啊……"""
st_052030_0330#0,"""傳說是什麼？"""
st_052030_0340#0,"""那是……"""
st_052030_0350#0,"""……那個，外面為什麼有一種讓人不舒服的很吵鬧的感覺？"""
st_052030_0360#0,"""哈莉艾特大人！"""
st_052030_0370#0,"""請進。"""
st_052030_0380#0,"""王國軍那邊來了魔術士！<br>看樣子是要進行召喚的準備！"""
st_052030_0390#0,"""……！<br>看來是要在這裡<br>召喚出魔神城……"""
st_052030_0400#0,"""在召喚前攻撃敵陣，停止召喚！<br>布魯納，通知全軍出撃！"""
st_052030_0410#0,"""不，不行，哈莉艾特大人！<br>這是魯莽的行為！先撤退吧！"""
st_052030_0420#0,"""……如果這樣撤軍的話，<br>肯定會被追到本部的。<br>那樣的話，就全完了。"""
st_052030_0430#0,"""另外……大家都在戰鬥的話，<br>本宮是不可能自己逃走的。"""
st_052030_0440#0,"""哈莉艾特大人……"""
st_052030_0450#0,"""用一點突破的速攻來決勝負。<br>瓦爾納，請迅速聯絡。"""
st_052030_0460#0,"""……失禮了。<br>我同樣也要戰鬥。<br>等到下次我活著見到您時再説明吧。"""
st_052030_0470#0,"""……怎麼辦呢，<%me>。"""
st_052030_0480#0,"""１．即使你不說……"""
st_052030_0490#0,"""２．怎麼辦呢？"""
st_052030_0500#0,"""……明白！<br>不說也知道的，<%me>！"""
st_052030_0510#0,"""……你在關心我麼？"""
st_052030_0520#0,"""但是，我明白的。<br><%me>是那種<br>不會丟下我一個人的人呢。"""
st_052030_0530#0,"""出發吧！<br>去哈莉艾特那裡！"""
name01#0,"""兵士"""
name02#0,"""？？？"""
