IncidentName#0,"""在最終決戰中取勝！"""
TrialBeginMsg#0,"""在最終決戰中取勝！"""
TrialAbstract#0,"""在最終決戰中取勝！"""
ToastMatoiBuffMsg#0,"""【瑪托依之祝福】ＨＰ＆ＰＰ、攻撃力提高！"""
ToastHitsugiBuffMsg#0,"""【火継之鬥志】一定時間內敵人被束縛！"""
ToastHarrietBuffMsg#0,"""【哈莉艾特之神威】給予敵人巨額傷害！"""
NpcComOnBegin_1#0,"""/atime1.0 /voice11_voice_delicious_npcha_012 真是不祥。<br>這就是，他真正的姿態……"""
NpcComOnGetAngry#0,"""/voice11_voice_delicious_npcha_014 接下來，似乎就是要動真格了。<br>直到最後都不要鬆懈！"""
HP_Under_50_1#0,"""/voice11_voice_delicious_npchi_012 絕對不會認輸！<br>一鼓作氣！"""
NpcComOnLastPhase#0,"""/voice11_voice_delicious_npcma_012 我不會讓你一個人背負這一切的！<br>我也要一起戰鬥！"""
NpcComOnBuffMatoi#0,"""/voice11_voice_delicious_npcma_013 克拉麗莎！請守護那個人！"""
NpcComOnBuffHitsugi#0,"""/voice11_voice_delicious_npchi_013 天叢雲，請幫助那個人！"""
NpcComOnBuffHarriet#0,"""/voice11_voice_delicious_npcha_015 請收下這份力量！<br>守護輝士！"""
HP_Under_10_1#0,"""/voice11_voice_delicious_npcma_016 就是現在！終結他！"""
HP_Under_10_2#0,"""/voice11_voice_delicious_npchi_014 上吧－－－－！"""
HP_Under_10_3#0,"""/voice11_voice_delicious_npcha_016 守護輝士，就是現在！"""
NpcComOnPowerUp#0,"""/voice11_voice_delicious_npcma_014 一決勝負！"""
