IncidentName#0,"""擊退ARKS的模仿體？"""
TrialBeginMsg#0,"""擊敗所有的敵人！"""
TrialAbstract#0,"""擊敗所有的敵人！"""
NpcComOnBegin#0,"""偵測到極為強大的敵意反應！<br>這個反應......究竟是什麼呢<br>請盡量擊敗所有敵人！"""
NpcComOnSuccess#0,"""敵意反應消失後<br>我們也捕捉到各位的座標了<br>狀況解除。請返回據點"""
NpcComOnFailure#0,"""失敗"""
NpcComOnBegin#1,"""發現極為強大的敵意反應！<br>......麻煩的傢伙要來了<br>排除所有障礙，以返回據點！"""
NpcComOnSuccess#1,"""......反應消失<br>也已經確認了諸位的座標<br>我將傳送裝置送過去，立刻返回據點"""
NpcComOnFailure#1,"""失敗"""
NpcComOnBegin#2,"""嗚哇，好強烈的反應......！<br>我想應該是該空間的主宰<br>這個反應是......咦？"""
NpcComOnSuccess#2,"""/face2 啊，呃，敵人反應消失！<br>也掌握到各位的座標了！<br>請立刻返回據點！"""
NpcComOnFailure#2,"""失敗"""
