name01#0,"""福洛斯地"""
text00#0,"""委託品，確認到了。<br>感謝幫助。"""
text01#0,"""委託品，確認了。<br>感謝幫忙。"""
text02#0,"""已確認成品。<br>委託完成。"""
text03#0,"""成果，已經確認。<br>向你致向感謝。"""
text04#0,"""成品，已經確認。<br>真的非常感謝你的協助。"""
text05#0,"""委託物，確認。<br>致上感謝。"""
text06#0,"""委託品，已經確認。<br>感謝你的協助。"""
text07#0,"""成品，已經確認。<br>下次也請多多指教。"""
text08#0,"""委託完成並確認。<br>感謝，你的協助。"""
text09#0,"""已確認成品。<br>已確認到，委託完成。"""
text00#1,"""成品，判斷為預期水準之上。<br>感謝你。"""
text01#1,"""委託品，確認。<br>判斷為預期之上。<br>感謝幫助。"""
text02#1,"""已確認成品。<br>傑作判定。<br>感謝你的努力。"""
text03#1,"""已確認，成果。<br>確認為預想外的逸品。<br>感謝你的盡力。"""
text04#1,"""確認為成品。<br>判斷為至佳的作品。<br>對於你的協助，真的非常感謝。"""
text05#1,"""委託品，確認。<br>確認為一等品。<br>致上感謝。"""
text06#1,"""委託品，確認為一等品。<br>真是感謝至極。"""
text07#1,"""確認為佳作。<br>在此致上謝意。<br>下次也請多多指教。"""
text08#1,"""委託品，回收。<br>確認為預想以上的好東西。<br>對於你的協助獻上萬分的感謝。"""
text09#1,"""成品，回收。<br>判斷為期望值以上的成果。<br>對於你的努力致上萬分的感謝。"""
