Title#0,"""覺悟"""
Explanation#0,"""為了救出被聖母星團擄走的火継<br><%me>與炎雅<br>前往了聖母星團的大本營所在的月球。<br>縱然，兩人並不知道<br>會有怎樣的敵人等待著他們。<br>――――――――――――――――――――<br>失敗條件/陷入無法戰鬥狀態後，選擇放棄<br>"""
StoryExplanation#0,"""為了救出被聖母星團擄走的火継<br><%me>與炎雅<br>前往了聖母星團的大本營所在的月球。<br>縱然，兩人並不知道<br>會有怎樣的敵人等待著他們。"""
SimpleExplanation#0,"""？？？"""
QuestInfoPlanetName#0,"""衛星・月"""
Area0S#0,"""遺棄設施"""
Area0L#0,"""衛星・月\u3000遺棄設施"""
Area1S#0,"""遺棄設施"""
Area1L#0,"""衛星・月\u3000遺棄設施"""
Area2S#0,"""遺棄設施"""
Area2L#0,"""衛星・月\u3000遺棄設施"""
Area3S#0,"""遺棄設施"""
Area3L#0,"""衛星・月\u3000遺棄設施"""
Area4S#0,"""商店區域"""
Area4L#0,"""ARKS戰艦　商店區域"""
a1#0,"""完成特定的委託"""
a2#0,"""完成特定的委託"""
a3#0,"""持有超級困難（SH）接受許可證"""
a4#0,"""持有超級困難（SH）接受許可證"""
