un_051030_0001#0,"""A.P.???/?/??/10:00"""
un_051030_0010#0,"""……說起來，鬧來鬧去的<br>忘了問這個了。"""
un_051030_0020#0,"""夏歐君，長大了不少呢？"""
un_051030_0030#0,"""啊，終於被發現了。<br>誰都不來問這個<br>搞得我還有點擔心呢。"""
un_051030_0040#0,"""比起可以看出來的成長<br>也變的可以理解大家的心情了。<br>隨著年齡的增長。"""
un_051030_0050#0,"""順便提一下，我們是<br>兩年之前才以這個樣子被做出來。<br>我還沒見過幼年的夏歐呢。"""
un_051030_0060#0,"""哼~，還是小孩子的夏歐君吶。<br>……一定很傲慢吧<br>看長相是這樣子，實際是怎麼樣呢？"""
un_051030_0070#0,"""如果我看起來比較傲慢的話<br>我覺得是<br>我的家人的問題呦。"""
un_051030_0080#0,"""是那樣麼？　怎麼回事？"""
un_051030_0090#0,"""夏歐君的家人的話，莎拉啊。<br>誒~，那麼一回事啊……"""
un_051030_0100#0,"""１．家人的錯咯"""
un_051030_0110#0,"""２．就是夏歐太傲慢了"""
un_051030_0120#0,"""太，太直接了<br>再委婉一點嘛！"""
un_051030_0130#0,"""誒呀，直接的意見啊。<br>嘛，倒是無可質否。"""
un_051030_0140#0,"""我的精神是建立在<br>莎拉的精神之上的。<br>所以也直接的受到了很多影響。"""
un_051030_0150#0,"""看起來很傲慢<br>或者很率直之類的<br>全~部，都是莎拉的影響。"""
un_051030_0160#0,"""不過，家人的孩子的影響<br>全部都接受進來了也就是說<br>夏歐君也很中意那裡吧？"""
un_051030_0170#0,"""這個就無可奉告了。<br>怎麼想都是你們的自由。"""
un_051030_0180#0,"""嘛，長大之後最好的就是<br>可以摸到莎拉的頭了。"""
un_051030_0190#0,"""莎拉總是很討厭的樣子<br>就更想摸了。"""
