st_058120_0010#0,"""……哈莉艾特！<br>你、幹了什麼！"""
st_058120_0020#0,"""這個世界、只是順應了人的願望。<br>喚醒了神、喚醒了英雄。<br>這是所有生活在這裡的人的願望。"""
st_058120_0030#0,"""人的願望……就這樣！<br>充滿欺瞞和慾望的人的願望？"""
st_058120_0040#0,"""並非全部都是這樣。<br>我从父親大人、哥哥大人学到了……<br>然後、守護輝士也教导了我。"""
st_058120_0050#0,"""承認吧、埃爾米爾。<br>人不會那麼容易陷入絕望。<br>……我也一樣。"""
st_058120_0060#0,"""自我……是人嗎？<br>容器的分離！"""
st_058120_0070#0,"""我是人。<br>我是、哈莉艾特。"""
st_058120_0080#0,"""因爲大家都相信我……<br>守護輝士、也相信我……<br>我不會放棄成為人類。"""
st_058120_0090#0,"""啊……！<br>所有希望的根源是<br>就是你嗎！　守護輝士！"""
st_058120_0100#0,"""<%me>桑！<br>前方高能反應！"""
st_058120_0110#0,"""黑暗法爾斯……齊聚……<br>作爲迎接的話、是不是太豪華了……？<br> 明明離繭還有一點點……！"""
st_058120_0120#0,"""啊、事到如今這種程度<br>不能再畏縮不前啊！"""
st_058120_0130#0,"""嗯、這樣俯瞰的話<br>怎麼這麼醜悪。"""
st_058120_0140#0,"""我自己竟然是這樣的<br>說實話不想相信呢。<br>現在就想馬上消失的心情啊。"""
st_058120_0150#0,"""你只是想要玩伴吧？<br>那我就盡情地陪你玩。"""
st_058120_0160#0,"""你想玩多久就玩多久。<br>一直到你壞掉爲止。"""
st_058120_0170#0,"""能幫助我嗎？"""
st_058120_0180#0,"""可以交給你們嗎？"""
st_058120_0190#0,"""我只是想把<br>不順眼的傢伙砸碎！<br>別誤會了！"""
st_058120_0200#0,"""解釋可以隨你的便。<br>但是、如果不能拯救哈莉艾特的話<br>和你的合作關係也就到此爲止了。"""
st_058120_0210#0,"""不管什麼事情都按照自己的想法去做<br>打破孩子們的願望<br>不是很開心嗎？"""
st_058120_0220#0,"""只占别人的便宜、不对自己的行为负责<br>是不行的。"""
st_058120_0230#0,"""是的。那樣太狡猾了吧。<br>嗯嗯、一定要重做一遍才行。"""
st_058120_0240#0,"""去吧、『失敗之作』！<br>去拯救我的『最高傑作』！"""
st_058120_0250#0,"""噢、你看什麼啊！"""
st_058120_0260#0,"""我才是你的玩伴？"""
st_058120_0270#0,"""那就盡情地玩吧？"""
st_058120_0280#0,"""呵呵、把目光從<br>我的美貌上移開好嗎？"""
st_058120_0290#0,"""……那麼。<br>不合格的玩具、處理掉吧。"""
name01#0,"""マルガレータ"""
name02#0,"""芙洛"""
name03#0,"""芙勞"""
