un_050010_0001#0,"""A.P.241/9/29"""
un_050010_0010#0,"""捕捉到了呦，司令！"""
un_050010_0020#0,"""什麼！？<br>那邊明明是視野的死角啊……！<br>……啊嘞嘞？"""
un_050010_0030#0,"""……不是杰伊司令麼？"""
un_050010_0040#0,"""對對對不起！　抱歉！<br>不小心打錯人什麼的<br>我真是太差勁了！"""
un_050010_0050#0,"""沒有想太多就出手了<br>真的很對不起……"""
un_050010_0060#0,"""怎麼樣了斯托拉托斯！<br>已經累了麼？"""
un_050010_0070#0,"""哦哦、<%me>！<br>能在這種地方碰上，真是奇遇啊！"""
un_050010_0080#0,"""<%me>……？<br>這位是，守護輝士麼！？"""
un_050010_0090#0,"""唔哇哇哇哇哇……！<br>抱、抱歉抱歉！<br>我對你做出這種事！"""
un_050010_0100#0,"""哈哈哈哈，這樣啊。<br><%me><br>把你捲進來真不好意思哈。"""
un_050010_0110#0,"""嘛，斯托拉托斯也如你所見<br>在反省了，就原諒她吧。<br>看在我的面子上！"""
un_050010_0120#0,"""１．這個孩子是？"""
un_050010_0130#0,"""２．你們在做什麼呢？"""
un_050010_0140#0,"""啊啊，說起來是<br>還沒有做介紹。"""
un_050010_0150#0,"""那麼說明就從<br>這傢伙的介紹<br>開始比較好吶。"""
un_050010_0160#0,"""戦闘部，新規戦術班所属<br>名字是斯托拉托斯！"""
un_050010_0170#0,"""斯托拉托斯是和你一樣的第三世代。<br>在這個年紀就已經把各個職業的基礎都學會了<br>是我們的希望之星。"""
un_050010_0180#0,"""過獎了！"""
un_050010_0190#0,"""然後新規戦術班是那個。<br>進行新職業<br>実戦研究的新單位。"""
un_050010_0200#0,"""也就是說需要有獨特的新想法的人！<br>所以說，就選上了斯托拉托斯來做這個！"""
un_050010_0210#0,"""過獎了！"""
un_050010_0220#0,"""……只是，現在有點停滯不前了。<br>為了實現一個人治壓多個目標的概念<br>做了很多研究來著……但卻不給許可！"""
un_050010_0230#0,"""雖說我和克拉莉絲克蕾絲也在幫忙<br>但是我們的戰鬥風格已經固定下來了<br>很難再適應這個啊。"""
un_050010_0240#0,"""很慚愧……"""
un_050010_0250#0,"""那個，<%me>！<br>方便的話，也多和斯托拉托斯<br>說說話如何？"""
un_050010_0260#0,"""欸、欸欸！<br>司令，那個才是最不好意思的吧！"""
un_050010_0270#0,"""<%me>在ARKS裡面也是非常厲害的豪傑。<br>和那個人的交流，可以變成你的經驗！"""
un_050010_0280#0,"""而且恐怕，在ARKS裡面<br>能夠使用這個新職業的也只有<br><%me>吧。"""
un_050010_0290#0,"""<%me>。<br>為了以後的ARKS的發展<br>可以來幫一下忙麼？"""
un_050010_0300#0,"""１．交給我吧"""
un_050010_0310#0,"""２．還是別對我太多期望哦"""
un_050010_0320#0,"""……不好意思了！"""
un_050010_0330#0,"""呼呼，真謙虛！<br>不過沒問題的，你的話！<br>這一點，我最清楚了！"""
un_050010_0340#0,"""<%me>！<br>以後就請多多關照了！"""
un_050010_0350#0,"""雖然是有點快了<br>但可以的話請聽聽我的戦闘記録吧<br>！　請一定！"""
