ra_051010_0001#0,"""A.P.241/10/3"""
ra_051010_0010#0,"""……好吧，這次就幫你隱瞞一下。"""
ra_051010_0020#0,"""雖說是守護輝士，定期的醫療檢查也是強制的哦。<br>明白了吧，瑪托依。"""
ra_051010_0030#0,"""是~。"""
ra_051010_0040#0,"""<%me>還在笑<br>也是一樣的，不要仗着是守護輝士就亂來。"""
ra_051010_0050#0,"""<%me>與二代目醬<br>和吉君和麗醬又不一樣<br>擔任着被稱爲守護輝士的職責呢。"""
ra_051010_0060#0,"""兩個人在成爲這樣之前，究竟有過什麼呢。"""
ra_051010_0070#0,"""那當然是，將黑暗種當作對手，進行了長時間的大範圍的戰鬥。"""
ra_051010_0080#0,"""……嘛，是我出生前的事了，所以我也不是親眼所見呢。"""
ra_051010_0090#0,"""吶，雪拉醬，沒有能回顧兩人的過去這樣的人存在麼？"""
ra_051010_0100#0,"""在我消失之後的ARKS的事蹟，真想看看發生了什麼啊。<br>像回憶過去的感覺呢。"""
ra_051010_0110#0,"""哎呀，那種事情還是……"""
ra_051010_0120#0,"""嘿，嘿，嘿，有的哦！"""
ra_051010_0130#0,"""瓦特，竟然有！？"""
ra_051010_0140#0,"""因爲<%me>的<br>経験非常重要<br>所以數據化存儲起來是必須的！"""
ra_051010_0150#0,"""……情報的整理還沒完成<br>因此不和<%me>一起的話<br>正確性還無法確定。"""
ra_051010_0160#0,"""這樣的話，<%me><br>一起來回顧一下到現在爲止的經歷吧。"""
ra_051010_0170#0,"""又可以整理情報<br>我又可以知道大家的過去<br>不是一舉兩得嘛。"""
