Name#0,"""迪那魯"""
Trouble#0,"""在槍砲管制上發生問題<br>暫時撤退"""
PassMessage#0,"""偵察飛行中"""
PassMessage2#0,"""編隊進行偵察任務中"""
DropHelpItem#0,"""投下救援物資"""
DropEnemy#0,"""物資中的熱源反應......?"""
Shooting#0,"""確認目標掃射"""
FallMessage#0,"""嘖.....不能再繼續飛行了!<br>緊急降落!"""
RequestDefense#0,"""開始修理中彈的地方<br>仰賴救援"""
RequestDefense2#0,"""不能就這樣放棄機體"""
EnemyFront#0,"""前方有敵人的影子。請求處理"""
EnemyRight#0,"""右舵有敵人的影子。請求處理"""
EnemyBack#0,"""後方有敵人的影子。請求處理"""
EnemyLeft#0,"""左舵有敵人的影子。請求處理"""
Broken#0,"""損傷率擴大。不太等太久了"""
Destroy#0,"""已經到極限了......<br>放棄機體，逃走"""
SuccessDefence#0,"""確認已恢復控制<br>感謝你的救援"""
EvFallMessage#0,"""輸出異常降低<br>要重新降落，仰賴救援了!"""
EvRequestDefense#0,"""損傷好像比想像的還大啊......"""
EvBroken#0,"""再繼續受損就糟了......"""
EvDestroy#0,"""就到這裡了......<br>抱歉了，要放棄機體"""
EvSuccessDefence#0,"""造成困擾了<br>這樣就沒問題了，感謝救援!"""
EvDarker#0,"""什麼!?控制被奪走了!<br>緊急事態，快逃走!"""
Trouble#1,"""在計器類上發生問題<br>暫時撤退"""
PassMessage#1,"""搜尋敵人中"""
PassMessage2#1,"""偵查編隊飛行中"""
DropHelpItem#1,"""投下救援物資"""
DropEnemy#1,"""真是奇怪的物資啊......"""
Shooting#1,"""確認目標，開始攻擊"""
FallMessage#1,"""可惡......控制竟然......!<br>要緊急降落!"""
RequestDefense#1,"""要進行緊急修理<br>要請求這期間的救援"""
RequestDefense2#1,"""雖然很嚴重，但應該能修理<br>希望你能幫我爭取到修理的時間"""
EnemyFront#1,"""前方有敵人的影子。請求處理"""
EnemyRight#1,"""右舵有敵人的影子。請求處理"""
EnemyBack#1,"""後方有敵人的影子。請求處理"""
EnemyLeft#1,"""左舵有敵人的影子。請求處理"""
Broken#1,"""太多地方中彈了<br>再這樣下去不行"""
Destroy#1,"""就只能到這裡了......<br>逃走吧"""
SuccessDefence#1,"""緊急處置已結束<br>感謝迅速的援救"""
EvFallMessage#1,"""確認驅動機關緊急停止<br>嘖......再次緊急降落!<br><br>"""
EvRequestDefense#1,"""要再修理一次<br>只有緊急處理的期間也沒關係，要請求救援"""
EvBroken#1,"""再繼續受損就糟了......"""
EvDestroy#1,"""就到這裡了......<br>抱歉了，要放棄機體"""
EvSuccessDefence#1,"""造成困擾了<br>這樣就沒問題了，感謝救援!"""
EvDarker#1,"""什麼!?控制被奪走了!<br>緊急事態，快逃走!"""
Trouble#2,"""因為發生原因不明的問題<br>暫時撤退"""
PassMessage#2,"""偵察任務中"""
PassMessage2#2,"""編隊搜尋敵人中"""
DropHelpItem#2,"""送出救援物資"""
DropEnemy#2,"""比平常還要有重量呢......"""
Shooting#2,"""已確認目標"""
FallMessage#2,"""還是沒有......<br>可惡，緊急降落!"""
RequestDefense#2,"""緊急處理的其間仰賴救援物資"""
RequestDefense2#2,"""應該還可以飛的......<br>修理期間仰賴救援物資"""
EnemyFront#2,"""前方有敵人的影子。請求處理"""
EnemyRight#2,"""右舵有敵人的影子。請求處理"""
EnemyBack#2,"""後方有敵人的影子。請求處理"""
EnemyLeft#2,"""左舵有敵人的影子。請求處理"""
Broken#2,"""不能再等了<br>請求緊急援救"""
Destroy#2,"""只到這裡麼......<br>要先逃了，之後就拜託了"""
SuccessDefence#2,"""趕上了，這樣就能飛了<br>感謝緊急援救"""
EvFallMessage#2,"""輸出緊急降低......<br>嘖......再次緊急降落!<br><br>"""
EvRequestDefense#2,"""趕上了太好了<br>再次處理的期間要請求緊急救援"""
EvBroken#2,"""再繼續受損就糟了......"""
EvDestroy#2,"""就到這裡了......<br>抱歉了，要放棄機體"""
EvSuccessDefence#2,"""造成困擾了<br>這樣就沒問題了，感謝救援!"""
EvDarker#2,"""什麼!?控制被奪走了!<br>緊急事態，快逃走!"""
