un_044020_0001#0,"""A.P.241/？/？/？"""
un_044020_0010#0,"""啊，<%me>！<br>我們剛好在聊<%me><br>你的事情呢，你也過來吧！"""
un_044020_0020#0,"""聊前輩的時候，你居然要把前輩本人拉進來……<br>你還真是天不怕地不怕啊，火継。"""
un_044020_0030#0,"""伊歐你嘴上雖然這麼說，可實際上<br>不是也挺想見<%me>的嘛？<br>都寫在臉上了哦。"""
un_044020_0040#0,"""唔……"""
un_044020_0050#0,"""……比、比起這個，火継你為什麼<br>會對前輩直呼其名啊？"""
un_044020_0060#0,"""恩，咦？說起來確實欸……？<br>當初剛見面的時候，包括雪拉在內<br>我記得好像都是有加敬稱的……"""
un_044020_0070#0,"""……到底是從什麼時候去掉的啊？<br>是不是情急之下叫著叫著，就叫慣了？"""
un_044020_0080#0,"""我們倆之間倒是說好了要去掉敬稱<br>但對前輩，是不是再抱有點敬意比較好啊？<br>前輩不是你的救命恩人嘛？"""
un_044020_0090#0,"""確實啊，伊歐你說得沒準有道理啊……<br>……那就讓人家自己來決定吧！"""
un_044020_0100#0,"""自己來決定？"""
un_044020_0110#0,"""<%me>，你來選選<br>想讓我們怎麼稱呼你吧！"""
un_044020_0120#0,"""不過都事到如今了，如果還只是<br>叫個普通的敬稱，感覺也有點沒氣勢欸……<br>是不是換成「大人」或者「王」之類的比較好……？"""
un_044020_0130#0,"""……到底在火継心目中<br>前輩是個什麼樣的存在啊？"""
un_044020_0140#0,"""「大人」比較好"""
un_044020_0150#0,"""「王」比較好"""
un_044020_0160#0,"""「前輩」比較好"""
un_044020_0170#0,"""原來如此。「大人」啊。<br><%me>大人！"""
un_044020_0180#0,"""咦，我是不是在哪聽過這叫法？"""
un_044020_0190#0,"""……是香取吧。"""
un_044020_0200#0,"""我知道啦，王是吧。<br>吾王<%me>！<br>是不是要這樣叫？"""
un_044020_0210#0,"""……未免也太羞恥了一點吧？"""
un_044020_0220#0,"""有麼？<br>聽著挺中世紀的，我還蠻喜歡的。"""
un_044020_0230#0,"""喂……！？"""
un_044020_0240#0,"""<%me>前輩！<br>是這意思？聽著有點太狂熱了吧。"""
un_044020_0250#0,"""怎、怎麼會呢！<br>前輩就是前輩啦！"""
un_044020_0260#0,"""不過，感覺還是有點奇怪啊。<br>果然還是普通地加敬稱好了……<br><%me>您好……"""
un_044020_0270#0,"""……不是我說啊，你事到如今再這樣，也太怪了。"""
un_044020_0280#0,"""哼，那就算啦！<br>之後我還是跟以前似的，就直呼名字好了。"""
