IncidentName#0,"""$(0)討伐"""
TrialBeginMsg#0,"""打倒$(0)！"""
TrialAbstract#0,"""打倒$(0)！"""
NpcComOnBegin#0,"""偵測到異常能量爆炸！<br>這就是被稱為伊格尼克斯的<br>黑暗種空間壓制兵器！"""
NpcComOnBegin1#0,"""伊格尼克斯的範圍會隨時間變廣<br>威脅也會隨之增加！<br>請立刻移動到現場！"""
NpcComOnBegin2#0,"""敵人一定躲在某個地方。<br>請一邊注意爆炸，<br>盡速前往擊倒敵人！"""
NpcComBossInfo#0,"""$(0)！<br>那個敵人就是這個現象的元凶！<br>盡快擊破！"""
NpcComOnSuccess#0,"""在確認敵人消滅的同時，<br>伊格尼克斯的反應也消失了。<br>辛苦了。"""
NpcComOnBegin#1,"""被稱作伊格尼克斯的黑暗種空間<br>鎮壓兵器，已確認發動了。<br>情況緊急，快從那裡離開。<br>"""
NpcComOnBegin1#1,"""伊格尼克斯會隨著時間的變化<br>爆炸的效果也會隨之變廣的特性。"""
NpcComOnBegin2#1,"""原兇應該在某個地方。<br>盡快找到它，將它擊破。"""
NpcComBossInfo#1,"""$(0)。<br>那個就是元兇的樣子。<br>立刻擊破。"""
NpcComOnSuccess#1,"""在確認敵人消滅的同時，<br>伊格尼克斯的反應也消失了。<br>很好，回歸正常任務。"""
NpcComOnBegin#2,"""什麼？　爆炸！？<br>難道是伊格尼克斯！"""
NpcComOnBegin1#2,"""這附近有產生爆炸的<br>黑暗種的兵器喔！<br>危險！危險！　趕快逃啊！"""
NpcComOnBegin2#2,"""操縱伊格尼克斯的<br>壞人在這裡！<br>請找出並打倒他！"""
NpcComBossInfo#2,"""啊！$(0)！<br>他就是元凶！　是他幹的好事！<br>請趕快打倒他！"""
NpcComOnSuccess#2,"""在敵人反應消失的同時，<br>也已經確認伊格尼克斯平靜下來了！<br>呼~太好了！"""
